team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
SAN ANTONIO SPURS,240,26,79,2,15,23,29,13,25,10,10,5,13,20
ATLANTA HAWKS,240,31,69,2,5,22,25,10,35,20,10,1,18,30
DETROIT PISTONS,240,37,86,7,15,24,31,22,34,24,3,4,11,18
CHICAGO BULLS,240,38,87,4,12,9,14,15,20,27,6,4,7,25
PORTLAND TRAIL BLAZERS,265,37,82,7,16,15,21,14,33,20,3,6,16,27
LOS ANGELES CLIPPERS,265,39,89,5,13,20,31,19,26,32,12,4,8,19
BOSTON CELTICS,240,40,86,8,24,15,19,9,27,27,11,1,21,29
MILWAUKEE BUCKS,240,36,74,8,22,31,38,11,29,25,9,3,24,21
MINNESOTA TIMBERWOLVES,240,33,77,3,10,25,31,13,27,18,6,4,13,20
NEW ORLEANS HORNETS,240,33,70,6,19,17,26,6,30,24,9,6,14,22
DENVER NUGGETS,240,40,77,7,13,18,25,11,28,20,10,6,15,21
PHOENIX SUNS,240,39,80,5,12,9,13,9,25,21,10,7,18,25
MIAMI HEAT,240,35,79,4,17,12,15,19,27,17,8,3,14,22
SACRAMENTO KINGS,240,32,66,9,22,17,23,7,23,21,8,2,12,14
CLEVELAND CAVALIERS,240,41,89,1,5,21,23,16,31,18,10,6,9,17
SEATTLE SUPERSONICS,240,35,88,14,37,12,14,17,30,22,3,13,18,18
GOLDEN STATE WARRIORS,240,31,81,4,11,14,17,13,22,14,9,5,12,21
UTAH JAZZ,240,36,75,6,10,19,22,13,36,19,9,6,17,24
HOUSTON ROCKETS,240,35,68,7,16,16,20,11,33,27,6,9,21,19
WASHINGTON WIZARDS,240,29,74,5,12,17,23,10,21,20,12,4,11,18
