team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
PHILADELPHIA 76ERS,240,41,75,9,15,18,21,11,28,27,7,5,19,21
ATLANTA HAWKS,240,33,70,8,22,20,27,5,19,22,8,1,15,18
INDIANA PACERS,240,41,93,8,22,27,32,11,32,23,7,2,11,28
GOLDEN STATE WARRIORS,240,39,81,10,23,32,39,10,36,21,7,7,13,21
PHOENIX SUNS,240,39,86,6,21,25,28,13,28,28,5,7,15,17
LOS ANGELES CLIPPERS,240,37,86,6,19,23,28,12,30,26,9,9,16,25
MIAMI HEAT,240,43,93,9,23,10,14,9,29,21,9,3,10,28
LOS ANGELES LAKERS,240,37,83,9,17,25,31,17,36,26,6,3,17,16
DALLAS MAVERICKS,240,39,86,3,20,14,15,11,29,15,6,10,13,13
SACRAMENTO KINGS,240,41,81,8,16,12,17,6,34,24,8,1,14,16
ORLANDO MAGIC,240,36,74,14,22,19,22,6,27,22,4,2,13,17
SAN ANTONIO SPURS,240,39,77,3,13,17,17,6,32,23,7,3,11,19
BOSTON CELTICS,240,32,78,10,20,20,26,10,33,22,5,4,12,24
TORONTO RAPTORS,240,28,74,6,17,26,31,11,33,18,6,10,11,21
