team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
MIAMI HEAT,240,35,70,5,11,26,34,4,26,19,7,11,7,23
DETROIT PISTONS,240,35,78,2,12,24,27,11,25,18,4,5,10,24
OKLAHOMA CITY THUNDER,240,37,83,4,11,19,27,12,34,22,10,3,9,19
MINNESOTA TIMBERWOLVES,240,34,79,7,19,15,23,13,33,18,4,1,16,21
CLEVELAND CAVALIERS,240,36,76,4,12,20,31,9,37,25,1,5,4,25
NEW JERSEY NETS,240,32,78,3,18,21,27,6,31,13,2,2,5,20
GOLDEN STATE WARRIORS,240,32,81,4,19,21,27,10,37,18,8,6,17,20
NEW ORLEANS HORNETS,240,39,86,4,16,17,20,10,37,19,7,6,14,21
PHILADELPHIA 76ERS,240,43,72,7,13,19,27,5,29,22,13,5,16,21
SACRAMENTO KINGS,240,35,80,9,27,21,27,15,25,21,9,1,19,18
HOUSTON ROCKETS,240,34,73,5,10,14,19,9,32,18,9,4,15,18
SAN ANTONIO SPURS,240,34,82,4,8,13,17,13,28,18,7,2,13,18
LOS ANGELES CLIPPERS,240,29,75,4,16,14,22,2,32,14,4,7,15,12
TORONTO RAPTORS,240,44,100,3,13,9,15,14,43,25,11,4,10,23
