team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
PORTLAND TRAIL BLAZERS,240,40,69,8,18,25,37,12,25,20,9,2,10,21
LOS ANGELES CLIPPERS,240,30,67,8,20,20,26,10,21,19,4,2,13,22
ATLANTA HAWKS,240,26,68,3,16,24,34,13,29,7,10,7,19,19
MIAMI HEAT,240,35,76,7,21,18,22,10,32,16,5,12,15,23
MINNESOTA TIMBERWOLVES,240,30,75,8,27,22,25,7,35,20,7,1,17,18
MILWAUKEE BUCKS,240,34,85,1,14,14,19,13,30,22,10,7,14,19
PHILADELPHIA 76ERS,240,36,67,2,14,12,20,10,27,20,11,6,21,23
NEW ORLEANS HORNETS,240,34,75,14,31,19,21,12,20,21,14,2,15,21
HOUSTON ROCKETS,240,35,90,10,33,18,20,11,36,17,6,0,10,23
NEW YORK KNICKS,240,37,78,6,21,24,29,6,40,20,5,2,12,19
NEW JERSEY NETS,240,34,85,4,17,13,18,14,31,19,16,3,14,25
OKLAHOMA CITY THUNDER,240,30,73,4,11,30,38,15,37,18,6,7,18,14
PHOENIX SUNS,240,40,84,6,17,17,19,12,41,29,5,8,17,20
WASHINGTON WIZARDS,240,32,81,4,11,19,24,8,30,23,10,6,13,15
