team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
BOSTON CELTICS,240,37,78,9,20,16,21,14,31,22,5,2,14,25
ATLANTA HAWKS,240,35,83,7,21,16,22,16,28,14,4,5,13,17
MINNESOTA TIMBERWOLVES,240,32,78,9,23,12,21,8,18,21,7,3,9,13
CLEVELAND CAVALIERS,240,39,73,11,20,18,21,9,38,25,7,4,13,21
DENVER NUGGETS,240,42,75,7,16,12,18,7,31,21,3,5,13,29
DALLAS MAVERICKS,240,31,87,9,21,30,37,20,22,14,8,9,4,19
LOS ANGELES LAKERS,240,41,87,7,21,14,19,11,26,29,11,5,11,17
NEW JERSEY NETS,240,39,83,9,27,8,17,16,32,23,7,4,22,20
NEW ORLEANS HORNETS,240,37,86,6,20,13,15,13,29,15,13,3,13,15
NEW YORK KNICKS,240,38,78,12,32,15,16,8,35,23,5,1,17,13
MILWAUKEE BUCKS,240,36,92,6,15,16,24,13,31,15,4,4,9,23
ORLANDO MAGIC,240,41,80,9,21,19,32,8,40,21,8,7,9,22
CHARLOTTE BOBCATS,240,37,72,6,18,20,29,13,28,21,8,3,17,25
PHILADELPHIA 76ERS,240,32,69,4,13,27,33,7,16,14,11,3,14,24
MEMPHIS GRIZZLIES,240,39,74,8,12,27,33,6,30,16,4,3,10,24
SACRAMENTO KINGS,240,31,66,5,16,28,35,4,21,18,5,5,11,28
LOS ANGELES CLIPPERS,240,40,78,8,16,10,16,9,26,17,2,5,11,14
SAN ANTONIO SPURS,240,46,82,10,24,9,11,8,31,31,10,4,3,15
OKLAHOMA CITY THUNDER,240,35,84,3,13,23,29,8,29,21,5,6,11,14
TORONTO RAPTORS,240,48,95,8,18,8,9,13,41,36,6,9,13,19
