team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
SACRAMENTO KINGS,240,36,87,8,16,19,26,10,38,18,10,4,12,23,away,loss,99.0,ATLANTA HAWKS,107.0
ATLANTA HAWKS,240,36,80,6,13,29,37,8,41,13,7,7,13,23,home,win,107.0,SACRAMENTO KINGS,99.0
DALLAS MAVERICKS,240,34,85,10,27,9,12,8,21,23,6,8,7,25,away,loss,87.0,CLEVELAND CAVALIERS,92.0
CLEVELAND CAVALIERS,240,35,81,1,6,21,28,23,36,17,4,9,17,22,home,win,92.0,DALLAS MAVERICKS,87.0
MIAMI HEAT,240,36,76,8,19,16,21,5,39,30,6,4,14,21,away,win,96.0,DENVER NUGGETS,85.0
DENVER NUGGETS,240,32,77,7,15,14,20,8,29,25,6,5,16,28,home,loss,85.0,MIAMI HEAT,96.0
PORTLAND TRAIL BLAZERS,240,39,79,3,10,20,25,12,30,31,9,5,14,17,away,win,101.0,GOLDEN STATE WARRIORS,93.0
GOLDEN STATE WARRIORS,240,36,89,6,15,15,22,22,27,23,6,4,18,25,home,loss,93.0,PORTLAND TRAIL BLAZERS,101.0
MILWAUKEE BUCKS,240,39,82,10,17,21,24,9,35,23,9,3,11,22,away,win,109.0,LOS ANGELES LAKERS,105.0
LOS ANGELES LAKERS,240,41,91,10,22,13,23,18,32,32,5,2,14,23,home,loss,105.0,MILWAUKEE BUCKS,109.0
MINNESOTA TIMBERWOLVES,240,37,92,6,15,14,19,18,23,22,6,3,14,28,away,loss,94.0,NEW JERSEY NETS,116.0
NEW JERSEY NETS,240,43,82,3,11,27,35,13,32,25,7,4,10,23,home,win,116.0,MINNESOTA TIMBERWOLVES,94.0
ORLANDO MAGIC,240,36,84,6,18,14,18,12,25,24,6,9,14,25,away,loss,92.0,SEATTLE SUPERSONICS,97.0
SEATTLE SUPERSONICS,240,36,83,4,7,21,30,17,35,23,11,4,16,20,home,win,97.0,ORLANDO MAGIC,92.0
INDIANA PACERS,240,30,73,4,11,26,29,13,28,15,6,4,20,24,away,loss,90.0,TORONTO RAPTORS,104.0
TORONTO RAPTORS,240,36,87,7,14,25,31,21,28,22,10,7,14,22,home,win,104.0,INDIANA PACERS,90.0
