team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
VANCOUVER GRIZZLIES,240,28,74,2,13,25,29,15,26,20,3,4,16,21,away,loss,83.0,DALLAS MAVERICKS,120.0
DALLAS MAVERICKS,240,46,88,5,12,23,25,14,30,24,9,5,7,24,home,win,120.0,VANCOUVER GRIZZLIES,83.0
PORTLAND TRAIL BLAZERS,240,37,78,1,11,17,24,10,28,25,7,7,11,22,away,win,92.0,INDIANA PACERS,82.0
INDIANA PACERS,240,31,80,4,14,16,23,18,29,14,4,5,16,23,home,loss,82.0,PORTLAND TRAIL BLAZERS,92.0
ORLANDO MAGIC,240,37,92,7,17,19,30,16,29,12,7,3,9,25,away,loss,100.0,MINNESOTA TIMBERWOLVES,109.0
MINNESOTA TIMBERWOLVES,240,41,75,3,8,24,33,8,40,33,7,2,15,24,home,win,109.0,ORLANDO MAGIC,100.0
SAN ANTONIO SPURS,240,42,82,3,7,10,18,15,42,21,2,7,17,23,away,win,97.0,SACRAMENTO KINGS,91.0
SACRAMENTO KINGS,240,33,85,4,20,21,35,13,27,17,11,3,7,17,home,loss,91.0,SAN ANTONIO SPURS,97.0
DENVER NUGGETS,240,35,77,9,22,17,23,14,30,18,6,3,14,16,away,loss,96.0,UTAH JAZZ,98.0
UTAH JAZZ,240,37,83,7,16,17,22,13,28,28,8,7,13,20,home,win,98.0,DENVER NUGGETS,96.0
