team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
MILWAUKEE BUCKS,240,39,75,5,11,22,30,10,32,22,8,7,11,21,away,win,105.0,CHARLOTTE HORNETS,98.0
CHARLOTTE HORNETS,240,37,90,7,13,17,22,18,29,25,6,3,12,21,home,loss,98.0,MILWAUKEE BUCKS,105.0
CLEVELAND CAVALIERS,240,31,90,4,10,22,31,14,36,14,7,6,8,25,away,loss,88.0,DENVER NUGGETS,91.0
DENVER NUGGETS,240,33,76,6,18,19,30,8,43,25,4,7,12,21,home,win,91.0,CLEVELAND CAVALIERS,88.0
NEW YORK KNICKS,240,38,82,9,19,12,14,8,26,19,4,2,11,34,away,win,97.0,DETROIT PISTONS,91.0
DETROIT PISTONS,240,29,68,5,7,28,39,9,32,16,2,5,16,18,home,loss,91.0,NEW YORK KNICKS,97.0
HOUSTON ROCKETS,240,34,77,10,23,23,29,7,27,22,3,1,10,22,away,loss,101.0,LOS ANGELES LAKERS,114.0
LOS ANGELES LAKERS,240,48,88,3,11,15,28,14,32,26,4,4,4,21,home,win,114.0,HOUSTON ROCKETS,101.0
NEW JERSEY NETS,240,36,81,4,15,10,10,8,25,19,10,0,13,27,away,loss,86.0,PHILADELPHIA 76ERS,97.0
PHILADELPHIA 76ERS,240,36,69,3,13,22,27,7,35,25,9,5,14,14,home,win,97.0,NEW JERSEY NETS,86.0
GOLDEN STATE WARRIORS,240,35,79,2,12,31,34,14,32,25,13,3,16,23,away,win,103.0,PHOENIX SUNS,95.0
PHOENIX SUNS,240,37,75,6,13,15,23,9,27,27,12,2,24,24,home,loss,95.0,GOLDEN STATE WARRIORS,103.0
MINNESOTA TIMBERWOLVES,240,35,83,6,15,22,25,14,31,24,10,5,11,28,away,win,98.0,SEATTLE SUPERSONICS,93.0
SEATTLE SUPERSONICS,240,34,78,6,18,19,28,14,28,21,8,1,15,19,home,loss,93.0,MINNESOTA TIMBERWOLVES,98.0
WASHINGTON WIZARDS,240,30,78,5,14,14,16,11,22,15,11,2,21,19,away,loss,79.0,TORONTO RAPTORS,101.0
TORONTO RAPTORS,240,39,76,6,16,17,20,12,30,21,11,10,19,18,home,win,101.0,WASHINGTON WIZARDS,79.0
MIAMI HEAT,240,36,76,7,15,18,25,13,30,21,10,2,14,17,away,win,97.0,VANCOUVER GRIZZLIES,86.0
VANCOUVER GRIZZLIES,240,35,78,4,15,12,16,10,28,24,6,2,17,20,home,loss,86.0,MIAMI HEAT,97.0
