team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
PHILADELPHIA 76ERS,240,43,87,6,13,22,31,13,31,28,15,5,12,24,away,win,114.0,BOSTON CELTICS,90.0
BOSTON CELTICS,240,33,81,5,25,19,30,18,33,15,5,4,25,27,home,loss,90.0,PHILADELPHIA 76ERS,114.0
NEW JERSEY NETS,240,34,79,7,11,11,24,12,25,17,5,12,11,20,away,win,86.0,LOS ANGELES CLIPPERS,85.0
LOS ANGELES CLIPPERS,240,33,85,5,13,14,23,21,33,12,2,6,21,19,home,loss,85.0,NEW JERSEY NETS,86.0
CHARLOTTE HORNETS,240,42,81,3,14,13,16,8,36,30,9,6,14,16,away,win,100.0,TORONTO RAPTORS,64.0
TORONTO RAPTORS,240,24,89,3,14,13,21,17,27,13,7,6,17,18,home,loss,64.0,CHARLOTTE HORNETS,100.0
DALLAS MAVERICKS,240,38,71,9,18,22,25,4,35,23,6,9,16,21,away,win,107.0,UTAH JAZZ,98.0
UTAH JAZZ,240,36,89,5,14,21,30,15,28,22,8,5,11,22,home,loss,98.0,DALLAS MAVERICKS,107.0
DENVER NUGGETS,240,37,77,5,15,16,30,11,31,24,8,8,14,22,away,win,95.0,VANCOUVER GRIZZLIES,92.0
VANCOUVER GRIZZLIES,240,35,84,3,15,19,25,15,34,22,7,3,16,24,home,loss,92.0,DENVER NUGGETS,95.0
