team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
NEW JERSEY NETS,240,34,74,2,13,31,42,14,25,14,11,3,23,25,away,win,101.0,ATLANTA HAWKS,94.0
ATLANTA HAWKS,240,32,78,7,19,23,29,14,22,16,13,4,21,34,home,loss,94.0,NEW JERSEY NETS,101.0
WASHINGTON WIZARDS,240,34,73,5,14,27,41,6,31,22,10,3,11,17,away,win,100.0,BOSTON CELTICS,95.0
BOSTON CELTICS,240,36,84,8,32,15,16,10,32,19,8,3,17,28,home,loss,95.0,WASHINGTON WIZARDS,100.0
UTAH JAZZ,240,34,78,2,7,28,41,17,24,28,12,4,18,22,away,loss,98.0,CHICAGO BULLS,113.0
CHICAGO BULLS,240,40,75,8,15,25,30,11,26,20,11,7,16,31,home,win,113.0,UTAH JAZZ,98.0
MILWAUKEE BUCKS,240,37,81,6,26,26,32,6,36,26,7,5,9,14,away,win,106.0,CLEVELAND CAVALIERS,94.0
CLEVELAND CAVALIERS,240,35,89,11,21,13,19,19,31,21,6,4,13,18,home,loss,94.0,MILWAUKEE BUCKS,106.0
DENVER NUGGETS,240,28,68,2,9,13,19,13,34,16,6,4,22,26,away,loss,71.0,DALLAS MAVERICKS,86.0
DALLAS MAVERICKS,240,31,76,3,15,21,27,13,26,20,11,5,10,19,home,win,86.0,DENVER NUGGETS,71.0
TORONTO RAPTORS,240,30,76,1,8,13,17,14,27,16,5,9,12,20,away,loss,74.0,DETROIT PISTONS,82.0
DETROIT PISTONS,240,32,72,3,11,15,21,11,30,17,8,8,10,19,home,win,82.0,TORONTO RAPTORS,74.0
MIAMI HEAT,240,36,84,1,13,12,16,10,29,19,8,5,11,23,away,loss,85.0,GOLDEN STATE WARRIORS,99.0
GOLDEN STATE WARRIORS,240,34,76,3,11,28,31,12,34,20,8,9,14,16,home,win,99.0,MIAMI HEAT,85.0
NEW ORLEANS HORNETS,240,40,90,6,16,16,20,12,27,28,12,2,13,24,away,loss,102.0,MEMPHIS GRIZZLIES,106.0
MEMPHIS GRIZZLIES,240,39,77,7,16,21,30,10,34,25,10,6,18,15,home,win,106.0,NEW ORLEANS HORNETS,102.0
NEW YORK KNICKS,240,37,79,7,16,19,23,11,29,23,7,2,14,26,away,loss,100.0,ORLANDO MAGIC,103.0
ORLANDO MAGIC,240,34,73,11,23,24,30,10,31,22,5,3,12,20,home,win,103.0,NEW YORK KNICKS,100.0
INDIANA PACERS,265,40,72,5,15,20,28,3,34,33,8,3,20,21,away,win,105.0,PHILADELPHIA 76ERS,104.0
PHILADELPHIA 76ERS,265,39,94,3,11,23,28,19,27,21,12,0,15,28,home,loss,104.0,INDIANA PACERS,105.0
