team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
INDIANA PACERS,240,27,76,1,14,31,42,12,21,13,11,4,12,23,away,loss,86.0,ATLANTA HAWKS,99.0
ATLANTA HAWKS,240,35,73,4,10,25,28,12,31,20,7,8,22,33,home,win,99.0,INDIANA PACERS,86.0
DETROIT PISTONS,240,36,90,6,22,12,15,13,37,22,10,8,7,18,away,win,90.0,CLEVELAND CAVALIERS,75.0
CLEVELAND CAVALIERS,240,29,80,1,6,16,23,14,37,13,5,6,14,18,home,loss,75.0,DETROIT PISTONS,90.0
NEW YORK KNICKS,240,42,78,9,16,24,29,7,29,27,6,3,13,20,away,win,117.0,LOS ANGELES LAKERS,110.0
LOS ANGELES LAKERS,240,41,90,12,25,16,20,14,28,27,5,2,13,28,home,loss,110.0,NEW YORK KNICKS,117.0
MEMPHIS GRIZZLIES,240,39,71,5,16,18,30,7,34,21,7,1,17,18,away,win,101.0,MILWAUKEE BUCKS,95.0
MILWAUKEE BUCKS,240,37,76,8,22,13,21,4,29,16,7,3,11,26,home,loss,95.0,MEMPHIS GRIZZLIES,101.0
GOLDEN STATE WARRIORS,240,39,98,6,21,18,28,19,31,18,8,6,14,20,away,loss,102.0,MINNESOTA TIMBERWOLVES,109.0
MINNESOTA TIMBERWOLVES,240,44,91,2,12,19,24,13,40,32,6,9,17,24,home,win,109.0,GOLDEN STATE WARRIORS,102.0
PHILADELPHIA 76ERS,240,32,78,3,10,23,27,15,28,20,14,4,14,25,away,win,90.0,NEW JERSEY NETS,83.0
NEW JERSEY NETS,240,29,66,5,11,20,31,11,24,20,4,3,21,23,home,loss,83.0,PHILADELPHIA 76ERS,90.0
DENVER NUGGETS,240,34,80,1,11,23,30,11,20,19,10,1,10,25,away,loss,92.0,NEW ORLEANS HORNETS,100.0
NEW ORLEANS HORNETS,240,37,69,3,9,23,28,10,31,25,5,7,18,26,home,win,100.0,DENVER NUGGETS,92.0
BOSTON CELTICS,240,34,78,10,31,14,18,12,27,19,2,3,11,26,away,loss,92.0,PHOENIX SUNS,102.0
PHOENIX SUNS,240,36,74,5,16,25,32,13,25,23,7,4,8,18,home,win,102.0,BOSTON CELTICS,92.0
SAN ANTONIO SPURS,240,37,82,3,13,27,33,16,26,20,6,5,15,15,away,win,104.0,SACRAMENTO KINGS,101.0
SACRAMENTO KINGS,240,39,84,7,18,16,16,12,29,23,6,5,16,28,home,loss,101.0,SAN ANTONIO SPURS,104.0
ORLANDO MAGIC,240,35,85,7,21,20,27,15,30,18,5,3,9,23,away,loss,97.0,TORONTO RAPTORS,99.0
TORONTO RAPTORS,240,40,77,3,14,16,23,7,36,24,5,0,12,23,home,win,99.0,ORLANDO MAGIC,97.0
