team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
TORONTO RAPTORS,240,30,82,7,16,18,24,18,28,21,6,6,13,20,away,loss,85.0,BOSTON CELTICS,90.0
BOSTON CELTICS,240,34,76,7,18,15,21,11,29,22,9,3,8,19,home,win,90.0,TORONTO RAPTORS,85.0
ATLANTA HAWKS,240,46,84,6,15,12,15,10,33,33,7,9,10,25,away,win,110.0,CHICAGO BULLS,88.0
CHICAGO BULLS,240,32,79,4,14,20,31,10,25,19,3,6,10,18,home,loss,88.0,ATLANTA HAWKS,110.0
NEW ORLEANS HORNETS,240,30,78,3,8,31,43,13,35,20,5,6,11,24,away,win,94.0,DENVER NUGGETS,88.0
DENVER NUGGETS,240,36,85,1,6,15,22,9,35,25,7,4,12,30,home,loss,88.0,NEW ORLEANS HORNETS,94.0
MILWAUKEE BUCKS,240,36,83,6,17,20,23,17,20,28,6,6,12,20,away,loss,98.0,INDIANA PACERS,107.0
INDIANA PACERS,240,41,75,5,10,20,24,12,24,31,9,4,13,20,home,win,107.0,MILWAUKEE BUCKS,98.0
MIAMI HEAT,265,46,95,9,15,15,19,13,28,27,10,7,16,29,away,loss,116.0,MEMPHIS GRIZZLIES,126.0
MEMPHIS GRIZZLIES,265,44,82,9,17,29,34,6,36,33,11,5,19,25,home,win,126.0,MIAMI HEAT,116.0
CLEVELAND CAVALIERS,240,39,83,5,18,12,14,15,31,25,4,2,14,14,away,loss,95.0,MINNESOTA TIMBERWOLVES,118.0
MINNESOTA TIMBERWOLVES,240,51,89,3,5,13,17,9,26,40,6,3,4,13,home,win,118.0,CLEVELAND CAVALIERS,95.0
ORLANDO MAGIC,290,42,97,8,25,18,23,9,39,28,8,5,15,23,away,loss,110.0,NEW YORK KNICKS,118.0
NEW YORK KNICKS,290,45,104,10,23,18,23,15,46,25,10,2,14,21,home,win,118.0,ORLANDO MAGIC,110.0
UTAH JAZZ,240,29,69,2,8,23,31,9,25,24,7,5,18,17,away,loss,83.0,PHILADELPHIA 76ERS,104.0
PHILADELPHIA 76ERS,240,42,78,4,7,16,18,10,29,27,14,0,16,22,home,win,104.0,UTAH JAZZ,83.0
LOS ANGELES CLIPPERS,240,41,77,0,11,21,28,9,23,15,6,6,13,25,away,loss,103.0,PORTLAND TRAIL BLAZERS,109.0
PORTLAND TRAIL BLAZERS,240,44,87,2,11,19,29,18,25,25,11,4,11,23,home,win,109.0,LOS ANGELES CLIPPERS,103.0
LOS ANGELES LAKERS,240,31,80,9,27,19,26,7,26,18,4,2,9,19,away,loss,90.0,SEATTLE SUPERSONICS,107.0
SEATTLE SUPERSONICS,240,42,88,7,25,16,17,15,42,24,5,3,12,25,home,win,107.0,LOS ANGELES LAKERS,90.0
