team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
PHILADELPHIA 76ERS,240,31,81,6,18,13,16,8,29,23,10,2,13,25,away,loss,81.0,BOSTON CELTICS,91.0
BOSTON CELTICS,240,29,70,10,23,23,32,14,35,18,8,5,19,21,home,win,91.0,PHILADELPHIA 76ERS,81.0
DALLAS MAVERICKS,240,37,79,2,15,27,29,8,27,18,5,4,10,22,away,win,103.0,CLEVELAND CAVALIERS,99.0
CLEVELAND CAVALIERS,240,37,85,4,11,21,30,13,31,27,6,7,11,23,home,loss,99.0,DALLAS MAVERICKS,103.0
PHOENIX SUNS,240,28,71,3,13,16,22,6,25,21,6,10,15,23,away,win,75.0,DENVER NUGGETS,72.0
DENVER NUGGETS,240,26,78,0,6,20,26,19,28,14,9,5,17,25,home,loss,72.0,PHOENIX SUNS,75.0
SACRAMENTO KINGS,240,43,80,7,17,11,14,6,35,29,8,5,15,23,away,win,104.0,GOLDEN STATE WARRIORS,93.0
GOLDEN STATE WARRIORS,240,36,89,3,15,18,23,16,31,21,8,4,13,17,home,loss,93.0,SACRAMENTO KINGS,104.0
CHICAGO BULLS,240,37,76,2,12,25,32,10,30,18,6,6,15,21,away,loss,101.0,MILWAUKEE BUCKS,108.0
MILWAUKEE BUCKS,240,42,88,10,24,14,23,12,28,26,11,6,10,26,home,win,108.0,CHICAGO BULLS,101.0
SAN ANTONIO SPURS,240,29,77,7,14,17,24,14,26,15,12,1,21,19,away,loss,82.0,NEW JERSEY NETS,91.0
NEW JERSEY NETS,240,33,77,2,6,23,28,13,35,16,9,5,20,21,home,win,91.0,SAN ANTONIO SPURS,82.0
MINNESOTA TIMBERWOLVES,240,40,88,2,5,16,21,13,26,24,10,4,9,22,away,loss,98.0,NEW ORLEANS HORNETS,102.0
NEW ORLEANS HORNETS,240,36,78,8,20,22,25,12,30,26,4,5,12,16,home,win,102.0,MINNESOTA TIMBERWOLVES,98.0
