team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
NEW ORLEANS HORNETS,240,34,77,3,8,16,19,11,22,17,10,3,18,26,away,loss,87.0,DETROIT PISTONS,93.0
DETROIT PISTONS,240,32,61,8,13,21,26,6,28,21,8,9,23,20,home,win,93.0,NEW ORLEANS HORNETS,87.0
PORTLAND TRAIL BLAZERS,240,32,75,4,12,15,16,12,29,22,3,1,12,19,away,loss,83.0,HOUSTON ROCKETS,86.0
HOUSTON ROCKETS,240,35,80,4,17,12,16,12,28,18,9,5,10,17,home,win,86.0,PORTLAND TRAIL BLAZERS,83.0
CLEVELAND CAVALIERS,240,26,83,0,4,23,31,15,25,15,14,4,14,16,away,loss,75.0,INDIANA PACERS,95.0
INDIANA PACERS,240,39,76,4,10,13,16,7,39,27,9,7,19,21,home,win,95.0,CLEVELAND CAVALIERS,75.0
ATLANTA HAWKS,240,32,74,5,17,26,30,11,44,18,3,4,14,18,away,win,95.0,LOS ANGELES LAKERS,83.0
LOS ANGELES LAKERS,240,32,94,6,19,13,17,19,28,23,11,8,8,21,home,loss,83.0,ATLANTA HAWKS,95.0
LOS ANGELES CLIPPERS,240,35,71,4,13,27,34,10,35,21,5,5,11,18,away,win,101.0,MIAMI HEAT,82.0
MIAMI HEAT,240,29,81,6,20,18,22,11,26,19,4,3,9,29,home,loss,82.0,LOS ANGELES CLIPPERS,101.0
UTAH JAZZ,240,39,72,2,5,28,37,11,39,23,4,6,12,27,away,win,108.0,NEW YORK KNICKS,87.0
NEW YORK KNICKS,240,27,76,2,12,31,40,13,20,12,6,2,8,28,home,loss,87.0,UTAH JAZZ,108.0
TORONTO RAPTORS,240,43,86,3,9,26,31,18,31,17,4,5,16,25,away,win,115.0,ORLANDO MAGIC,109.0
ORLANDO MAGIC,240,38,80,3,14,30,34,8,27,22,9,2,9,27,home,loss,109.0,TORONTO RAPTORS,115.0
SEATTLE SUPERSONICS,240,42,78,6,13,11,17,11,26,28,8,2,13,17,away,win,101.0,WASHINGTON WIZARDS,95.0
WASHINGTON WIZARDS,240,42,82,2,9,9,15,10,24,26,6,4,13,16,home,loss,95.0,SEATTLE SUPERSONICS,101.0
