team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
BOSTON CELTICS,240,28,72,4,14,23,30,14,38,14,5,4,16,26,away,loss,83.0,DETROIT PISTONS,86.0
DETROIT PISTONS,240,31,73,9,22,15,28,6,29,25,7,9,10,23,home,win,86.0,BOSTON CELTICS,83.0
PHILADELPHIA 76ERS,240,42,87,4,14,20,24,19,33,19,6,3,11,20,away,win,108.0,MILWAUKEE BUCKS,81.0
MILWAUKEE BUCKS,240,30,70,6,23,15,20,2,21,17,7,7,11,17,home,loss,81.0,PHILADELPHIA 76ERS,108.0
ATLANTA HAWKS,240,35,79,6,14,22,26,16,25,15,8,0,14,21,away,loss,98.0,NEW YORK KNICKS,103.0
NEW YORK KNICKS,240,38,78,10,23,17,20,10,29,24,8,4,15,23,home,win,103.0,ATLANTA HAWKS,98.0
DENVER NUGGETS,240,33,67,5,10,21,25,10,28,22,7,0,22,29,away,loss,92.0,PORTLAND TRAIL BLAZERS,98.0
PORTLAND TRAIL BLAZERS,240,33,71,2,9,30,35,9,26,17,14,3,13,16,home,win,98.0,DENVER NUGGETS,92.0
UTAH JAZZ,240,43,79,3,5,13,21,12,31,27,9,1,14,22,away,win,102.0,SACRAMENTO KINGS,92.0
SACRAMENTO KINGS,240,30,75,10,23,22,28,8,22,21,8,4,15,19,home,loss,92.0,UTAH JAZZ,102.0
GOLDEN STATE WARRIORS,240,32,85,6,18,18,30,16,33,15,8,5,18,23,away,loss,88.0,SEATTLE SUPERSONICS,91.0
SEATTLE SUPERSONICS,240,34,84,3,5,20,34,15,34,23,13,3,15,24,home,win,91.0,GOLDEN STATE WARRIORS,88.0
