team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
OKLAHOMA CITY THUNDER,240,37,85,6,23,12,14,11,37,17,10,7,17,21,away,win,92.0,DALLAS MAVERICKS,91.0
DALLAS MAVERICKS,240,33,80,10,29,15,19,8,31,23,12,4,14,16,home,loss,91.0,OKLAHOMA CITY THUNDER,92.0
DETROIT PISTONS,240,36,84,9,23,14,21,12,30,18,4,3,18,16,away,loss,95.0,NEW YORK KNICKS,109.0
NEW YORK KNICKS,240,45,84,7,21,12,13,4,33,26,13,5,12,16,home,win,109.0,DETROIT PISTONS,95.0
MEMPHIS GRIZZLIES,240,31,90,5,26,23,29,19,26,15,4,2,7,18,away,loss,90.0,SACRAMENTO KINGS,91.0
SACRAMENTO KINGS,240,31,67,6,25,23,30,8,28,16,4,6,11,23,home,win,91.0,MEMPHIS GRIZZLIES,90.0
CLEVELAND CAVALIERS,240,31,83,4,26,8,13,9,31,20,8,2,16,20,away,loss,74.0,SAN ANTONIO SPURS,103.0
SAN ANTONIO SPURS,240,41,86,7,26,14,17,10,42,24,11,7,12,18,home,win,103.0,CLEVELAND CAVALIERS,74.0
ORLANDO MAGIC,240,43,88,4,20,22,28,8,25,19,11,3,11,23,away,loss,112.0,TORONTO RAPTORS,131.0
TORONTO RAPTORS,240,49,83,10,15,23,35,9,34,24,7,8,15,25,home,win,131.0,ORLANDO MAGIC,112.0
NEW ORLEANS PELICANS,240,37,80,10,25,16,24,5,32,17,7,7,9,17,away,loss,100.0,UTAH JAZZ,108.0
UTAH JAZZ,240,41,85,15,27,11,18,11,38,27,6,7,10,22,home,win,108.0,NEW ORLEANS PELICANS,100.0
