team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
LOS ANGELES CLIPPERS,240,41,85,6,25,13,16,11,26,20,7,5,14,17,away,win,101.0,CHICAGO BULLS,91.0
CHICAGO BULLS,240,35,83,6,17,15,20,14,31,26,11,0,19,24,home,loss,91.0,LOS ANGELES CLIPPERS,101.0
CHARLOTTE HORNETS,240,41,90,16,27,14,17,13,30,25,8,6,5,18,away,win,112.0,DENVER NUGGETS,102.0
DENVER NUGGETS,240,36,80,9,30,21,25,11,34,21,5,3,13,20,home,loss,102.0,CHARLOTTE HORNETS,112.0
MEMPHIS GRIZZLIES,240,43,97,8,28,14,21,17,29,26,8,6,13,24,away,loss,108.0,HOUSTON ROCKETS,123.0
HOUSTON ROCKETS,240,39,78,18,42,27,36,10,33,25,10,4,14,20,home,win,123.0,MEMPHIS GRIZZLIES,108.0
CLEVELAND CAVALIERS,240,35,73,11,27,11,18,8,25,20,4,1,15,16,away,loss,92.0,MIAMI HEAT,120.0
MIAMI HEAT,240,46,88,18,34,10,12,15,33,20,6,4,10,19,home,win,120.0,CLEVELAND CAVALIERS,92.0
TORONTO RAPTORS,240,35,75,7,21,17,20,3,33,20,2,4,11,23,away,loss,94.0,MILWAUKEE BUCKS,101.0
MILWAUKEE BUCKS,240,38,87,6,27,19,23,9,33,16,3,4,6,18,home,win,101.0,TORONTO RAPTORS,94.0
DETROIT PISTONS,240,54,95,10,23,18,21,10,34,26,11,10,7,9,away,win,136.0,PHILADELPHIA 76ERS,106.0
PHILADELPHIA 76ERS,240,43,88,14,34,6,7,6,30,30,5,2,19,18,home,loss,106.0,DETROIT PISTONS,136.0
BROOKLYN NETS,240,45,86,14,30,12,17,8,23,24,7,6,13,22,away,loss,116.0,PORTLAND TRAIL BLAZERS,130.0
PORTLAND TRAIL BLAZERS,240,49,86,16,25,16,22,6,31,29,9,6,12,13,home,win,130.0,BROOKLYN NETS,116.0
MINNESOTA TIMBERWOLVES,265,35,89,4,16,16,22,16,39,24,6,3,14,20,away,loss,90.0,SAN ANTONIO SPURS,97.0
SAN ANTONIO SPURS,265,38,94,6,24,15,24,17,32,16,10,8,12,17,home,win,97.0,MINNESOTA TIMBERWOLVES,90.0
