team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
ATLANTA HAWKS,240,44,92,7,23,22,38,15,38,25,11,12,12,17,away,win,117.0,BROOKLYN NETS,97.0
BROOKLYN NETS,240,35,87,10,29,17,23,14,34,22,5,4,17,24,home,loss,97.0,ATLANTA HAWKS,117.0
MIAMI HEAT,240,38,90,6,30,13,17,6,40,25,6,4,11,22,away,loss,95.0,GOLDEN STATE WARRIORS,107.0
GOLDEN STATE WARRIORS,240,39,86,11,27,18,22,5,43,28,6,7,11,16,home,win,107.0,MIAMI HEAT,95.0
CHARLOTTE HORNETS,240,44,92,19,43,7,9,5,38,30,3,4,11,21,away,loss,114.0,HOUSTON ROCKETS,121.0
HOUSTON ROCKETS,240,40,82,17,39,24,33,6,38,25,8,5,10,17,home,win,121.0,CHARLOTTE HORNETS,114.0
PORTLAND TRAIL BLAZERS,240,43,85,7,21,15,20,9,41,25,6,9,11,21,away,win,108.0,LOS ANGELES LAKERS,87.0
LOS ANGELES LAKERS,240,32,83,9,24,14,26,9,29,18,7,5,10,18,home,loss,87.0,PORTLAND TRAIL BLAZERS,108.0
DETROIT PISTONS,240,36,82,12,27,10,16,8,27,14,12,9,12,24,away,loss,94.0,SACRAMENTO KINGS,100.0
SACRAMENTO KINGS,240,32,73,13,23,23,29,12,33,21,6,3,16,17,home,win,100.0,DETROIT PISTONS,94.0
MILWAUKEE BUCKS,240,44,84,10,19,11,13,11,27,32,8,6,12,18,away,win,109.0,SAN ANTONIO SPURS,107.0
SAN ANTONIO SPURS,240,42,88,12,30,11,14,13,28,22,5,7,14,10,home,loss,107.0,MILWAUKEE BUCKS,109.0
BOSTON CELTICS,240,40,85,9,27,17,20,6,27,21,7,3,14,20,away,loss,106.0,TORONTO RAPTORS,114.0
TORONTO RAPTORS,240,41,87,10,22,22,27,17,33,17,9,7,17,21,home,win,114.0,BOSTON CELTICS,106.0
CLEVELAND CAVALIERS,240,31,85,9,31,21,25,13,29,15,6,2,16,19,away,loss,92.0,UTAH JAZZ,100.0
UTAH JAZZ,240,38,79,13,34,11,19,11,35,22,8,4,18,21,home,win,100.0,CLEVELAND CAVALIERS,92.0
CHICAGO BULLS,240,35,88,10,27,19,21,12,32,19,10,2,17,18,away,loss,99.0,WASHINGTON WIZARDS,101.0
WASHINGTON WIZARDS,240,42,83,11,22,6,9,7,35,24,8,6,21,24,home,win,101.0,CHICAGO BULLS,99.0
