team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
NEW YORK KNICKS,340,51,128,18,51,19,23,15,48,32,9,11,12,39,away,loss,139.0,ATLANTA HAWKS,142.0
ATLANTA HAWKS,340,52,119,10,31,28,40,17,47,36,4,2,14,24,home,win,142.0,NEW YORK KNICKS,139.0
PHILADELPHIA 76ERS,240,44,99,10,28,10,14,11,32,26,8,8,12,22,away,loss,108.0,CHICAGO BULLS,121.0
CHICAGO BULLS,240,45,89,8,14,23,28,10,39,29,8,5,10,11,home,win,121.0,PHILADELPHIA 76ERS,108.0
OKLAHOMA CITY THUNDER,240,37,100,6,26,11,16,13,42,20,5,4,16,19,away,loss,91.0,CLEVELAND CAVALIERS,107.0
CLEVELAND CAVALIERS,240,41,92,8,29,17,22,8,43,22,9,6,10,16,home,win,107.0,OKLAHOMA CITY THUNDER,91.0
HOUSTON ROCKETS,240,34,83,11,39,22,25,11,30,21,7,6,15,24,away,loss,101.0,INDIANA PACERS,120.0
INDIANA PACERS,240,47,87,5,21,21,26,7,35,28,9,7,10,21,home,win,120.0,HOUSTON ROCKETS,101.0
WASHINGTON WIZARDS,240,45,89,10,21,7,10,10,35,28,9,3,10,17,away,win,107.0,NEW ORLEANS PELICANS,94.0
NEW ORLEANS PELICANS,240,38,84,10,32,8,15,10,32,25,8,3,14,12,home,loss,94.0,WASHINGTON WIZARDS,107.0
GOLDEN STATE WARRIORS,240,36,79,8,26,33,39,8,31,28,13,6,18,18,away,win,113.0,PORTLAND TRAIL BLAZERS,111.0
PORTLAND TRAIL BLAZERS,240,46,93,10,27,9,12,9,33,26,11,2,18,24,home,loss,111.0,GOLDEN STATE WARRIORS,113.0
DALLAS MAVERICKS,240,39,87,12,34,15,16,6,35,20,6,5,6,19,away,win,105.0,SAN ANTONIO SPURS,101.0
SAN ANTONIO SPURS,240,39,83,8,22,15,23,5,40,26,2,4,11,20,home,loss,101.0,DALLAS MAVERICKS,105.0
ORLANDO MAGIC,240,42,79,10,23,20,26,6,30,25,6,6,12,28,away,win,114.0,TORONTO RAPTORS,113.0
TORONTO RAPTORS,240,36,79,12,28,29,36,9,31,19,8,3,11,20,home,loss,113.0,ORLANDO MAGIC,114.0
