team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
CLEVELAND CAVALIERS,265,45,98,19,46,16,20,13,40,28,4,3,14,27,away,loss,125.0,ATLANTA HAWKS,126.0
ATLANTA HAWKS,265,44,94,9,31,29,37,10,35,31,8,4,12,22,home,win,126.0,CLEVELAND CAVALIERS,125.0
OKLAHOMA CITY THUNDER,240,40,96,6,25,20,22,18,36,19,7,3,12,19,away,win,106.0,DENVER NUGGETS,105.0
DENVER NUGGETS,240,40,84,11,34,14,15,4,38,22,6,4,12,16,home,loss,105.0,OKLAHOMA CITY THUNDER,106.0
MINNESOTA TIMBERWOLVES,240,40,80,3,15,26,31,8,33,27,8,6,14,16,away,loss,109.0,LOS ANGELES LAKERS,110.0
LOS ANGELES LAKERS,240,42,86,10,27,16,20,12,28,26,10,8,16,23,home,win,110.0,MINNESOTA TIMBERWOLVES,109.0
DETROIT PISTONS,240,39,82,14,28,11,16,15,31,21,8,2,18,12,away,win,103.0,MEMPHIS GRIZZLIES,90.0
MEMPHIS GRIZZLIES,240,36,75,9,21,9,13,6,24,23,12,3,15,16,home,loss,90.0,DETROIT PISTONS,103.0
TORONTO RAPTORS,240,40,77,10,31,20,23,5,36,20,8,1,10,14,away,win,110.0,NEW YORK KNICKS,97.0
NEW YORK KNICKS,240,37,82,9,28,14,15,6,30,27,6,1,11,18,home,loss,97.0,TORONTO RAPTORS,110.0
DALLAS MAVERICKS,240,41,97,16,45,13,19,17,27,23,5,2,10,23,away,loss,111.0,PHOENIX SUNS,124.0
PHOENIX SUNS,240,44,80,8,19,28,32,8,35,26,6,4,12,18,home,win,124.0,DALLAS MAVERICKS,111.0
HOUSTON ROCKETS,240,45,80,18,43,27,31,5,36,26,3,2,16,22,away,win,135.0,SACRAMENTO KINGS,128.0
SACRAMENTO KINGS,240,47,94,9,31,25,30,7,31,26,8,2,5,18,home,loss,128.0,HOUSTON ROCKETS,135.0
