team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
HOUSTON ROCKETS,240,43,90,17,44,17,25,11,21,30,5,2,7,25,away,loss,120.0,CLEVELAND CAVALIERS,128.0
CLEVELAND CAVALIERS,240,43,83,16,32,26,31,12,34,22,4,2,11,21,home,win,128.0,HOUSTON ROCKETS,120.0
NEW YORK KNICKS,240,35,86,7,22,12,15,8,35,18,6,9,11,20,away,loss,89.0,DETROIT PISTONS,102.0
DETROIT PISTONS,240,41,89,8,13,12,21,10,38,19,7,5,10,16,home,win,102.0,NEW YORK KNICKS,89.0
LOS ANGELES LAKERS,240,40,89,6,28,22,25,11,33,14,8,2,19,25,away,loss,108.0,INDIANA PACERS,115.0
INDIANA PACERS,240,41,87,10,28,23,29,11,32,19,10,8,15,20,home,win,115.0,LOS ANGELES LAKERS,108.0
SACRAMENTO KINGS,265,34,89,5,23,23,27,9,44,12,4,4,15,23,away,loss,96.0,MIAMI HEAT,108.0
MIAMI HEAT,265,37,86,13,29,21,29,6,39,24,10,9,15,21,home,win,108.0,SACRAMENTO KINGS,96.0
MEMPHIS GRIZZLIES,240,27,75,4,24,22,29,8,24,10,17,4,20,22,away,loss,80.0,MINNESOTA TIMBERWOLVES,116.0
MINNESOTA TIMBERWOLVES,240,43,78,12,20,18,23,10,40,29,10,5,21,22,home,win,116.0,MEMPHIS GRIZZLIES,80.0
MILWAUKEE BUCKS,240,44,91,10,32,19,21,11,38,30,9,5,15,25,away,win,117.0,NEW ORLEANS PELICANS,113.0
NEW ORLEANS PELICANS,240,36,82,9,26,32,41,9,33,23,13,5,13,17,home,loss,113.0,MILWAUKEE BUCKS,117.0
ORLANDO MAGIC,240,42,93,6,25,13,17,12,27,29,7,6,10,15,away,win,103.0,PHILADELPHIA 76ERS,101.0
PHILADELPHIA 76ERS,240,40,81,9,20,12,16,7,35,28,5,8,15,20,home,loss,101.0,ORLANDO MAGIC,103.0
GOLDEN STATE WARRIORS,240,50,89,10,26,17,23,7,38,36,14,4,16,19,away,win,127.0,PORTLAND TRAIL BLAZERS,104.0
PORTLAND TRAIL BLAZERS,240,37,86,14,39,16,21,6,26,23,12,4,18,17,home,loss,104.0,GOLDEN STATE WARRIORS,127.0
UTAH JAZZ,240,38,76,15,31,15,18,2,37,22,5,8,10,20,away,win,106.0,SAN ANTONIO SPURS,91.0
SAN ANTONIO SPURS,240,33,76,6,20,19,21,4,30,19,6,5,9,15,home,loss,91.0,UTAH JAZZ,106.0
