team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
CHICAGO BULLS,240,41,91,9,27,16,21,8,23,24,14,3,13,21,away,loss,107.0,ATLANTA HAWKS,115.0
ATLANTA HAWKS,240,42,83,9,20,22,27,13,35,24,8,7,21,20,home,win,115.0,CHICAGO BULLS,107.0
UTAH JAZZ,240,38,82,8,34,14,18,10,36,24,5,6,12,22,away,loss,98.0,CHARLOTTE HORNETS,104.0
CHARLOTTE HORNETS,240,38,82,8,26,20,29,5,32,24,8,3,8,19,home,win,104.0,UTAH JAZZ,98.0
DALLAS MAVERICKS,240,34,86,6,28,21,28,13,29,20,10,2,7,20,away,loss,95.0,GOLDEN STATE WARRIORS,116.0
GOLDEN STATE WARRIORS,240,43,74,17,33,13,22,5,34,33,3,5,15,22,home,win,116.0,DALLAS MAVERICKS,95.0
PHILADELPHIA 76ERS,265,46,95,14,36,9,19,10,33,23,11,6,17,21,away,loss,115.0,INDIANA PACERS,122.0
INDIANA PACERS,265,49,90,9,19,15,20,7,36,25,9,6,16,17,home,win,122.0,PHILADELPHIA 76ERS,115.0
PORTLAND TRAIL BLAZERS,240,31,88,6,30,12,14,11,36,16,4,3,14,23,away,loss,80.0,LOS ANGELES CLIPPERS,111.0
LOS ANGELES CLIPPERS,240,38,87,11,32,24,33,14,41,24,9,7,7,15,home,win,111.0,PORTLAND TRAIL BLAZERS,80.0
BROOKLYN NETS,240,33,79,11,33,19,27,7,33,19,9,4,18,20,away,loss,96.0,NEW YORK KNICKS,110.0
NEW YORK KNICKS,240,44,92,10,30,12,17,9,41,25,11,5,14,21,home,win,110.0,BROOKLYN NETS,96.0
TORONTO RAPTORS,240,43,83,11,26,15,22,7,28,25,10,6,11,24,away,win,112.0,OKLAHOMA CITY THUNDER,102.0
OKLAHOMA CITY THUNDER,240,31,74,12,34,28,31,11,28,18,6,5,19,21,home,loss,102.0,TORONTO RAPTORS,112.0
MINNESOTA TIMBERWOLVES,240,45,87,13,23,20,26,10,35,27,8,5,6,23,away,win,123.0,ORLANDO MAGIC,107.0
ORLANDO MAGIC,240,38,85,8,24,23,30,12,27,20,2,5,9,19,home,loss,107.0,MINNESOTA TIMBERWOLVES,123.0
DETROIT PISTONS,240,32,89,9,22,27,32,9,32,20,11,5,11,24,away,loss,100.0,PHOENIX SUNS,107.0
PHOENIX SUNS,240,38,84,8,22,23,30,10,39,20,7,6,17,20,home,win,107.0,DETROIT PISTONS,100.0
HOUSTON ROCKETS,240,37,78,10,30,17,22,8,37,25,7,4,19,24,away,win,101.0,SAN ANTONIO SPURS,99.0
SAN ANTONIO SPURS,240,33,84,7,23,26,30,10,29,22,14,5,10,15,home,loss,99.0,HOUSTON ROCKETS,101.0
BOSTON CELTICS,240,35,81,10,31,13,22,7,24,21,5,4,11,19,away,loss,93.0,WASHINGTON WIZARDS,118.0
WASHINGTON WIZARDS,240,46,92,10,21,16,20,19,35,29,9,7,11,26,home,win,118.0,BOSTON CELTICS,93.0
