team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
ORLANDO MAGIC,240,33,86,11,33,25,26,11,32,23,8,3,14,21,away,loss,102.0,CLEVELAND CAVALIERS,122.0
CLEVELAND CAVALIERS,240,44,82,18,36,16,21,5,37,30,9,3,12,18,home,win,122.0,ORLANDO MAGIC,102.0
MINNESOTA TIMBERWOLVES,240,41,96,4,19,21,26,19,31,22,9,3,13,19,away,loss,107.0,GOLDEN STATE WARRIORS,121.0
GOLDEN STATE WARRIORS,240,44,84,14,32,19,24,8,32,33,9,7,13,19,home,win,121.0,MINNESOTA TIMBERWOLVES,107.0
TORONTO RAPTORS,240,34,76,5,23,17,19,6,34,11,7,5,13,19,away,loss,90.0,INDIANA PACERS,108.0
INDIANA PACERS,240,39,89,12,25,18,18,10,33,16,7,4,11,17,home,win,108.0,TORONTO RAPTORS,90.0
DENVER NUGGETS,240,53,99,13,30,15,21,15,35,31,3,2,10,20,away,win,134.0,NEW ORLEANS PELICANS,131.0
NEW ORLEANS PELICANS,240,51,100,14,32,15,17,10,25,30,5,8,7,16,home,loss,131.0,DENVER NUGGETS,134.0
CHICAGO BULLS,240,32,85,6,27,21,23,11,26,22,7,5,14,15,away,loss,91.0,NEW YORK KNICKS,100.0
NEW YORK KNICKS,240,42,89,6,23,10,16,16,38,26,4,8,14,22,home,win,100.0,CHICAGO BULLS,91.0
MILWAUKEE BUCKS,240,29,81,3,18,18,26,10,28,16,9,5,11,19,away,loss,79.0,OKLAHOMA CITY THUNDER,110.0
OKLAHOMA CITY THUNDER,240,40,84,9,28,21,25,11,42,29,9,7,13,20,home,win,110.0,MILWAUKEE BUCKS,79.0
BROOKLYN NETS,240,48,75,16,31,29,33,1,35,36,9,5,17,18,away,win,141.0,PHILADELPHIA 76ERS,118.0
PHILADELPHIA 76ERS,240,43,97,12,38,20,27,14,22,32,7,4,11,22,home,loss,118.0,BROOKLYN NETS,141.0
DALLAS MAVERICKS,240,32,80,12,43,11,14,8,31,21,9,9,16,13,away,loss,87.0,SACRAMENTO KINGS,98.0
SACRAMENTO KINGS,240,36,81,12,22,14,17,11,40,17,11,2,18,10,home,win,98.0,DALLAS MAVERICKS,87.0
MEMPHIS GRIZZLIES,265,35,89,8,25,11,18,12,38,26,9,2,15,20,away,loss,89.0,SAN ANTONIO SPURS,95.0
SAN ANTONIO SPURS,265,35,80,11,21,14,18,8,38,22,8,6,15,20,home,win,95.0,MEMPHIS GRIZZLIES,89.0
PORTLAND TRAIL BLAZERS,240,33,83,6,26,15,17,7,22,10,8,5,7,20,away,loss,87.0,UTAH JAZZ,106.0
UTAH JAZZ,240,39,74,13,23,15,19,7,40,21,4,6,14,16,home,win,106.0,PORTLAND TRAIL BLAZERS,87.0
CHARLOTTE HORNETS,240,40,79,12,34,19,22,9,28,21,5,3,16,17,away,loss,111.0,WASHINGTON WIZARDS,118.0
WASHINGTON WIZARDS,240,43,85,17,34,15,18,6,30,31,10,3,12,18,home,win,118.0,CHARLOTTE HORNETS,111.0
