team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
NEW ORLEANS HORNETS,240,31,88,7,23,15,25,17,29,16,11,10,16,25,away,loss,84.0,CHICAGO BULLS,89.0
CHICAGO BULLS,240,32,84,4,10,21,23,20,34,17,7,4,16,21,home,win,89.0,NEW ORLEANS HORNETS,84.0
SEATTLE SUPERSONICS,265,41,94,12,35,16,20,10,34,23,6,4,10,27,away,loss,110.0,GOLDEN STATE WARRIORS,113.0
GOLDEN STATE WARRIORS,265,41,90,12,27,19,27,16,41,25,4,5,14,20,home,win,113.0,SEATTLE SUPERSONICS,110.0
MIAMI HEAT,240,30,76,4,16,13,15,6,32,24,6,1,11,26,away,loss,77.0,MINNESOTA TIMBERWOLVES,83.0
MINNESOTA TIMBERWOLVES,240,31,75,3,10,18,28,13,34,19,4,8,10,18,home,win,83.0,MIAMI HEAT,77.0
MILWAUKEE BUCKS,240,36,90,3,17,13,15,12,31,18,10,5,16,19,away,loss,88.0,NEW YORK KNICKS,94.0
NEW YORK KNICKS,240,37,82,5,11,15,19,11,36,21,8,8,18,17,home,win,94.0,MILWAUKEE BUCKS,88.0
INDIANA PACERS,265,36,88,2,9,14,17,5,35,15,10,4,12,24,away,loss,88.0,SAN ANTONIO SPURS,89.0
SAN ANTONIO SPURS,265,33,80,5,11,18,28,13,43,25,7,8,22,17,home,win,89.0,INDIANA PACERS,88.0
ATLANTA HAWKS,240,26,66,1,11,18,24,4,29,14,8,11,18,29,away,loss,71.0,UTAH JAZZ,92.0
UTAH JAZZ,240,32,68,4,11,24,35,8,33,23,2,7,17,28,home,win,92.0,ATLANTA HAWKS,71.0
PHILADELPHIA 76ERS,240,31,73,6,17,19,20,8,28,20,11,5,22,22,away,loss,87.0,WASHINGTON WIZARDS,94.0
WASHINGTON WIZARDS,240,34,75,3,11,23,29,12,33,16,16,7,22,23,home,win,94.0,PHILADELPHIA 76ERS,87.0
