team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
MIAMI HEAT,240,26,71,5,12,18,24,8,31,14,4,2,15,20,away,loss,75.0,BOSTON CELTICS,98.0
BOSTON CELTICS,240,37,73,5,16,19,26,5,35,28,9,9,10,23,home,win,98.0,MIAMI HEAT,75.0
WASHINGTON WIZARDS,240,37,76,5,12,20,30,11,37,25,12,5,18,22,away,win,99.0,CHICAGO BULLS,74.0
CHICAGO BULLS,240,26,82,3,13,19,31,18,29,16,9,8,18,23,home,loss,74.0,WASHINGTON WIZARDS,99.0
SAN ANTONIO SPURS,240,26,97,2,13,18,23,23,37,14,11,16,18,28,away,loss,72.0,DENVER NUGGETS,80.0
DENVER NUGGETS,240,28,96,4,10,20,29,26,40,17,8,7,17,25,home,win,80.0,SAN ANTONIO SPURS,72.0
INDIANA PACERS,240,36,79,7,14,10,15,12,27,18,8,9,19,28,away,win,89.0,DETROIT PISTONS,87.0
DETROIT PISTONS,240,31,79,2,6,23,31,16,24,15,11,12,15,17,home,loss,87.0,INDIANA PACERS,89.0
DALLAS MAVERICKS,240,34,78,2,14,25,29,11,39,19,9,5,14,17,away,win,95.0,GOLDEN STATE WARRIORS,87.0
GOLDEN STATE WARRIORS,240,36,92,5,21,10,17,15,36,19,6,3,14,27,home,loss,87.0,DALLAS MAVERICKS,95.0
MILWAUKEE BUCKS,240,35,83,2,9,17,18,12,30,25,4,4,12,21,away,loss,89.0,MINNESOTA TIMBERWOLVES,95.0
MINNESOTA TIMBERWOLVES,240,38,85,1,6,18,28,15,32,26,8,5,8,14,home,win,95.0,MILWAUKEE BUCKS,89.0
ATLANTA HAWKS,265,33,83,3,14,14,19,10,48,18,7,11,25,20,away,loss,83.0,NEW ORLEANS HORNETS,88.0
NEW ORLEANS HORNETS,265,35,108,4,25,14,20,21,34,24,18,4,11,20,home,win,88.0,ATLANTA HAWKS,83.0
ORLANDO MAGIC,265,32,87,5,20,16,29,12,32,17,11,4,17,18,away,win,85.0,NEW YORK KNICKS,83.0
NEW YORK KNICKS,265,32,80,5,16,14,17,8,40,20,8,6,26,22,home,loss,83.0,ORLANDO MAGIC,85.0
CLEVELAND CAVALIERS,240,40,86,6,11,6,9,10,29,24,6,9,14,25,away,loss,92.0,SACRAMENTO KINGS,106.0
SACRAMENTO KINGS,240,44,87,2,9,16,20,13,28,27,7,8,10,11,home,win,106.0,CLEVELAND CAVALIERS,92.0
NEW JERSEY NETS,240,33,81,4,11,17,23,12,28,26,6,3,9,25,away,loss,87.0,TORONTO RAPTORS,90.0
TORONTO RAPTORS,240,34,80,2,12,20,25,12,33,17,2,4,12,23,home,win,90.0,NEW JERSEY NETS,87.0
PORTLAND TRAIL BLAZERS,240,36,84,4,12,16,21,20,20,20,10,2,15,20,away,loss,92.0,UTAH JAZZ,99.0
UTAH JAZZ,240,42,73,5,9,10,14,8,21,25,9,5,12,20,home,win,99.0,PORTLAND TRAIL BLAZERS,92.0
