team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
TORONTO RAPTORS,240,25,74,3,19,22,25,9,23,16,11,1,14,31,away,loss,75.0,BOSTON CELTICS,88.0
BOSTON CELTICS,240,29,65,3,8,27,38,14,40,16,6,5,20,23,home,win,88.0,TORONTO RAPTORS,75.0
ATLANTA HAWKS,240,29,84,9,22,16,26,17,29,17,11,7,12,25,away,loss,83.0,DETROIT PISTONS,105.0
DETROIT PISTONS,240,38,74,5,10,24,37,11,36,31,9,11,15,19,home,win,105.0,ATLANTA HAWKS,83.0
PORTLAND TRAIL BLAZERS,240,32,68,6,11,15,20,8,32,21,6,8,18,21,away,loss,85.0,HOUSTON ROCKETS,89.0
HOUSTON ROCKETS,240,34,75,6,16,15,22,8,26,22,9,2,9,16,home,win,89.0,PORTLAND TRAIL BLAZERS,85.0
NEW YORK KNICKS,240,31,73,2,11,30,33,10,29,18,9,4,12,23,away,loss,94.0,LOS ANGELES CLIPPERS,96.0
LOS ANGELES CLIPPERS,240,33,80,6,17,24,29,13,26,16,7,4,14,22,home,win,96.0,NEW YORK KNICKS,94.0
MEMPHIS GRIZZLIES,240,43,81,5,16,13,15,11,30,18,4,11,16,32,away,loss,104.0,MILWAUKEE BUCKS,106.0
MILWAUKEE BUCKS,240,38,84,5,11,25,33,10,22,27,5,4,10,19,home,win,106.0,MEMPHIS GRIZZLIES,104.0
GOLDEN STATE WARRIORS,240,32,78,5,16,12,14,11,28,19,5,4,11,16,away,loss,81.0,MINNESOTA TIMBERWOLVES,91.0
MINNESOTA TIMBERWOLVES,240,38,78,6,15,9,15,10,32,35,8,8,8,14,home,win,91.0,GOLDEN STATE WARRIORS,81.0
INDIANA PACERS,240,28,78,4,14,17,23,10,26,19,8,4,7,20,away,loss,77.0,NEW ORLEANS HORNETS,89.0
NEW ORLEANS HORNETS,240,33,79,4,10,19,23,15,37,18,2,2,12,22,home,win,89.0,INDIANA PACERS,77.0
CLEVELAND CAVALIERS,265,40,83,3,7,29,36,15,35,22,9,6,21,21,away,win,112.0,ORLANDO MAGIC,107.0
ORLANDO MAGIC,265,42,91,3,15,20,26,11,28,20,12,1,16,29,home,loss,107.0,CLEVELAND CAVALIERS,112.0
UTAH JAZZ,240,39,86,2,10,22,29,20,33,18,7,4,12,34,away,win,102.0,SACRAMENTO KINGS,97.0
SACRAMENTO KINGS,240,26,68,6,19,39,51,17,26,16,9,5,18,21,home,loss,97.0,UTAH JAZZ,102.0
PHOENIX SUNS,240,41,82,4,10,18,32,11,33,19,8,9,11,24,away,win,104.0,SEATTLE SUPERSONICS,99.0
SEATTLE SUPERSONICS,240,34,91,7,25,24,29,14,31,23,4,4,12,23,home,loss,99.0,PHOENIX SUNS,104.0
