team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
NEW JERSEY NETS,240,34,84,4,13,13,20,11,30,23,9,4,12,19,away,loss,85.0,GOLDEN STATE WARRIORS,101.0
GOLDEN STATE WARRIORS,240,41,83,5,14,14,21,11,40,28,8,10,13,16,home,win,101.0,NEW JERSEY NETS,85.0
HOUSTON ROCKETS,240,32,73,9,22,10,15,8,28,19,8,2,15,18,away,loss,83.0,LOS ANGELES CLIPPERS,90.0
LOS ANGELES CLIPPERS,240,36,69,2,10,16,21,7,29,19,7,9,11,17,home,win,90.0,HOUSTON ROCKETS,83.0
DENVER NUGGETS,240,39,84,8,18,12,15,11,27,23,7,4,12,23,away,loss,98.0,LOS ANGELES LAKERS,105.0
LOS ANGELES LAKERS,240,41,78,10,19,13,24,11,24,27,6,9,11,11,home,win,105.0,DENVER NUGGETS,98.0
INDIANA PACERS,240,31,69,4,12,22,26,7,31,23,3,7,22,25,away,loss,88.0,SEATTLE SUPERSONICS,99.0
SEATTLE SUPERSONICS,240,36,88,3,13,24,27,12,28,20,10,5,10,25,home,win,99.0,INDIANA PACERS,88.0
PHILADELPHIA 76ERS,240,32,83,4,14,20,22,16,26,12,5,3,14,10,away,loss,88.0,TORONTO RAPTORS,107.0
TORONTO RAPTORS,240,46,93,7,21,8,8,13,29,29,8,10,10,26,home,win,107.0,PHILADELPHIA 76ERS,88.0
