slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
howardw01,Dwight Howard,ORLANDO MAGIC,AWAY,WASHINGTON WIZARDS,WIN,2289,8,12,0,0,10,14,4,10,2,1,3,2,1,27.1
smithjr01,J.R. Smith,DENVER NUGGETS,HOME,NEW ORLEANS HORNETS,LOSS,1955,13,21,5,9,1,2,2,3,4,2,0,2,1,26.8
paulch01,Chris Paul,NEW ORLEANS HORNETS,AWAY,DENVER NUGGETS,WIN,2433,7,13,2,3,6,6,0,4,10,3,0,3,2,23.1
butlera01,Rasual Butler,NEW ORLEANS HORNETS,AWAY,DENVER NUGGETS,WIN,2000,7,8,4,5,1,2,1,1,2,3,0,0,2,20.4
butleca01,Caron Butler,WASHINGTON WIZARDS,HOME,ORLANDO MAGIC,LOSS,2359,9,18,1,6,6,6,1,1,6,1,0,4,1,17.8
anthoca01,Carmelo Anthony,DENVER NUGGETS,HOME,NEW ORLEANS HORNETS,LOSS,2162,8,13,1,2,7,8,0,6,2,2,0,4,3,17.7
turkohe01,Hedo Türkoğlu,ORLANDO MAGIC,AWAY,WASHINGTON WIZARDS,WIN,2063,7,16,0,4,6,7,1,9,3,1,0,1,3,15.5
jamisan01,Antawn Jamison,WASHINGTON WIZARDS,HOME,ORLANDO MAGIC,LOSS,2192,7,15,0,4,3,5,4,8,2,2,0,1,3,14.9
pietrmi01,Mickaël Piétrus,ORLANDO MAGIC,AWAY,WASHINGTON WIZARDS,WIN,2041,8,13,1,2,0,0,1,3,3,3,0,2,4,14.2
johnsan02,Anthony Johnson,ORLANDO MAGIC,AWAY,WASHINGTON WIZARDS,WIN,2277,2,5,2,2,1,2,0,4,12,0,0,0,1,13.1
lewisra02,Rashard Lewis,ORLANDO MAGIC,AWAY,WASHINGTON WIZARDS,WIN,2063,6,14,1,3,4,5,2,3,4,1,0,1,3,13.1
stojape01,Peja Stojaković,NEW ORLEANS HORNETS,AWAY,DENVER NUGGETS,WIN,2011,5,11,4,7,3,3,1,2,3,1,0,2,2,12.9
westda01,David West,NEW ORLEANS HORNETS,AWAY,DENVER NUGGETS,WIN,2667,6,16,0,0,3,4,3,5,2,0,2,1,3,10.0
songada01,Darius Songaila,WASHINGTON WIZARDS,HOME,ORLANDO MAGIC,LOSS,1296,6,9,0,0,0,0,0,3,1,1,0,0,3,9.5
billuch01,Chauncey Billups,DENVER NUGGETS,HOME,NEW ORLEANS HORNETS,LOSS,2049,4,12,0,4,4,4,0,0,5,1,0,1,2,7.9
poseyja01,James Posey,NEW ORLEANS HORNETS,AWAY,DENVER NUGGETS,WIN,1796,2,6,2,6,4,4,0,5,1,1,0,1,3,7.6
battito01,Tony Battie,ORLANDO MAGIC,AWAY,WASHINGTON WIZARDS,WIN,1167,2,4,0,0,2,2,3,3,0,1,1,0,3,7.5
anderch01,Chris Andersen,DENVER NUGGETS,HOME,NEW ORLEANS HORNETS,LOSS,1387,3,7,0,0,0,0,4,4,1,0,1,0,2,6.9
cartean01,Anthony Carter,DENVER NUGGETS,HOME,NEW ORLEANS HORNETS,LOSS,1251,0,1,0,0,0,0,0,4,8,2,0,1,2,6.3
stevede01,DeShawn Stevenson,WASHINGTON WIZARDS,HOME,ORLANDO MAGIC,LOSS,1655,2,7,2,3,0,0,0,3,6,0,0,1,0,6.0
hilarne01,Nenê Hilário,DENVER NUGGETS,HOME,NEW ORLEANS HORNETS,LOSS,1493,2,4,0,1,5,6,1,1,1,0,0,2,4,4.7
martike01,Kenyon Martin,DENVER NUGGETS,HOME,NEW ORLEANS HORNETS,LOSS,2094,3,7,0,0,0,0,1,5,3,0,5,4,4,4.5
kleizli01,Linas Kleiza,DENVER NUGGETS,HOME,NEW ORLEANS HORNETS,LOSS,1256,3,7,1,1,1,2,1,3,0,1,0,1,3,4.3
