slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
bynuman01,Andrew Bynum,LOS ANGELES LAKERS,HOME,WASHINGTON WIZARDS,WIN,1652,8,12,0,0,7,8,4,10,2,0,1,2,1,22.9
piercpa01,Paul Pierce,BOSTON CELTICS,AWAY,ORLANDO MAGIC,WIN,2637,8,18,0,1,11,14,2,8,4,2,0,2,4,21.4
lewisra02,Rashard Lewis,ORLANDO MAGIC,HOME,BOSTON CELTICS,LOSS,2256,8,14,1,4,3,7,9,1,2,2,0,2,4,18.2
odomla01,Lamar Odom,LOS ANGELES LAKERS,HOME,WASHINGTON WIZARDS,WIN,1362,7,9,1,2,1,2,0,5,5,0,1,0,1,17.4
mcgeeja01,JaVale McGee,WASHINGTON WIZARDS,AWAY,LOS ANGELES LAKERS,LOSS,1375,7,15,0,0,4,4,5,4,0,2,2,1,3,16.2
jamisan01,Antawn Jamison,WASHINGTON WIZARDS,AWAY,LOS ANGELES LAKERS,LOSS,1864,7,13,2,3,3,3,0,5,3,1,0,1,3,15.1
gasolpa01,Pau Gasol,LOS ANGELES LAKERS,HOME,WASHINGTON WIZARDS,WIN,1688,7,12,0,0,4,5,4,2,2,0,0,1,2,15.0
fishede01,Derek Fisher,LOS ANGELES LAKERS,HOME,WASHINGTON WIZARDS,WIN,1684,3,6,1,2,0,0,0,1,8,4,0,1,0,12.9
davisgl01,Glen Davis,BOSTON CELTICS,AWAY,ORLANDO MAGIC,WIN,1260,6,8,0,0,4,4,2,2,0,1,0,1,5,12.8
arizatr01,Trevor Ariza,LOS ANGELES LAKERS,HOME,WASHINGTON WIZARDS,WIN,1435,4,7,2,4,0,0,2,1,4,1,1,0,1,12.5
vujacsa01,Sasha Vujačić,LOS ANGELES LAKERS,HOME,WASHINGTON WIZARDS,WIN,1555,4,7,2,5,3,3,0,2,3,2,0,1,3,12.2
garneke01,Kevin Garnett,BOSTON CELTICS,AWAY,ORLANDO MAGIC,WIN,2164,8,13,0,0,0,0,1,4,1,1,0,1,3,11.5
turkohe01,Hedo Türkoğlu,ORLANDO MAGIC,HOME,BOSTON CELTICS,LOSS,2332,6,15,4,7,6,8,0,3,2,0,0,3,5,10.4
butleca01,Caron Butler,WASHINGTON WIZARDS,AWAY,LOS ANGELES LAKERS,LOSS,1876,5,10,2,4,0,0,1,2,6,1,0,3,1,10.1
crittja01,Javaris Crittenton,WASHINGTON WIZARDS,AWAY,LOS ANGELES LAKERS,LOSS,931,3,7,0,0,4,4,2,4,3,0,0,2,0,9.0
bryanko01,Kobe Bryant,LOS ANGELES LAKERS,HOME,WASHINGTON WIZARDS,WIN,1686,4,11,1,3,2,2,0,4,5,0,0,0,2,8.8
nelsoja01,Jameer Nelson,ORLANDO MAGIC,HOME,BOSTON CELTICS,LOSS,2200,6,16,1,6,4,4,0,2,3,0,0,2,1,8.5
mcguido01,Dominic McGuire,WASHINGTON WIZARDS,AWAY,LOS ANGELES LAKERS,LOSS,2401,1,5,0,0,6,6,0,2,2,3,2,2,3,8.1
allenra02,Ray Allen,BOSTON CELTICS,AWAY,ORLANDO MAGIC,WIN,2267,6,12,0,2,0,0,1,1,2,2,1,3,1,7.7
redicjj01,J.J. Redick,ORLANDO MAGIC,HOME,BOSTON CELTICS,LOSS,1592,1,2,1,2,3,4,0,4,2,1,0,1,0,7.2
perkike01,Kendrick Perkins,BOSTON CELTICS,AWAY,ORLANDO MAGIC,WIN,1510,3,5,0,0,1,2,4,2,0,0,2,1,3,6.9
howardw01,Dwight Howard,ORLANDO MAGIC,HOME,BOSTON CELTICS,LOSS,2308,4,10,0,0,3,4,3,8,1,0,3,4,6,6.1
songada01,Darius Songaila,WASHINGTON WIZARDS,AWAY,LOS ANGELES LAKERS,LOSS,662,4,5,0,0,0,0,0,0,0,0,0,0,0,6.1
pecheol01,Oleksiy Pecherov,WASHINGTON WIZARDS,AWAY,LOS ANGELES LAKERS,LOSS,720,2,2,1,1,0,0,4,1,0,0,0,1,2,5.7
radmavl01,Vladimir Radmanović,LOS ANGELES LAKERS,HOME,WASHINGTON WIZARDS,WIN,835,4,5,1,1,1,1,0,1,0,0,0,3,0,5.4
jamesmi01,Mike James,WASHINGTON WIZARDS,AWAY,LOS ANGELES LAKERS,LOSS,1949,4,10,0,4,0,1,1,1,6,0,0,1,3,5.2
