team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
ORLANDO MAGIC,240,34,69,11,27,25,34,8,35,25,12,5,16,21,away,win,104.0,CHICAGO BULLS,84.0
CHICAGO BULLS,240,32,80,6,17,14,19,11,27,22,9,2,18,24,home,loss,84.0,ORLANDO MAGIC,104.0
MIAMI HEAT,240,26,66,8,16,16,22,4,29,16,7,2,11,25,away,loss,76.0,CLEVELAND CAVALIERS,84.0
CLEVELAND CAVALIERS,240,28,74,6,14,22,31,15,38,20,3,8,12,18,home,win,84.0,MIAMI HEAT,76.0
HOUSTON ROCKETS,240,32,92,9,25,21,28,17,37,22,7,4,17,27,away,loss,94.0,DENVER NUGGETS,111.0
DENVER NUGGETS,240,41,85,7,19,22,30,9,38,25,10,13,14,19,home,win,111.0,HOUSTON ROCKETS,94.0
TORONTO RAPTORS,240,36,83,3,16,9,12,7,26,26,7,2,11,14,away,loss,84.0,DETROIT PISTONS,91.0
DETROIT PISTONS,240,38,78,3,12,12,15,11,33,14,7,4,13,17,home,win,91.0,TORONTO RAPTORS,84.0
SAN ANTONIO SPURS,240,33,79,5,17,14,24,9,27,20,9,2,8,16,away,loss,85.0,LOS ANGELES LAKERS,106.0
LOS ANGELES LAKERS,240,41,82,10,19,14,17,12,39,26,5,4,13,15,home,win,106.0,SAN ANTONIO SPURS,85.0
DALLAS MAVERICKS,240,36,89,7,22,16,19,12,35,23,3,3,8,25,away,loss,95.0,SEATTLE SUPERSONICS,99.0
SEATTLE SUPERSONICS,240,36,88,0,6,27,34,12,34,20,6,6,6,18,home,win,99.0,DALLAS MAVERICKS,95.0
