team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
GOLDEN STATE WARRIORS,240,55,101,17,32,8,10,10,29,28,10,5,10,28,away,win,135.0,ATLANTA HAWKS,118.0
ATLANTA HAWKS,240,39,77,7,16,33,40,11,27,24,6,7,18,12,home,loss,118.0,GOLDEN STATE WARRIORS,135.0
MEMPHIS GRIZZLIES,240,39,92,4,19,15,19,14,25,16,6,2,11,19,away,loss,97.0,CHICAGO BULLS,112.0
CHICAGO BULLS,240,44,82,6,17,18,23,11,36,29,7,8,11,21,home,win,112.0,MEMPHIS GRIZZLIES,97.0
SEATTLE SUPERSONICS,240,37,81,3,11,20,25,12,35,18,5,3,18,26,away,loss,97.0,DETROIT PISTONS,100.0
DETROIT PISTONS,240,30,79,9,19,31,37,16,24,23,10,10,12,23,home,win,100.0,SEATTLE SUPERSONICS,97.0
CHARLOTTE BOBCATS,240,38,74,10,20,23,29,9,30,31,11,6,11,14,away,win,109.0,MINNESOTA TIMBERWOLVES,89.0
MINNESOTA TIMBERWOLVES,240,39,80,6,12,5,9,7,28,26,6,4,16,22,home,loss,89.0,CHARLOTTE BOBCATS,109.0
TORONTO RAPTORS,240,36,88,2,14,13,19,12,35,15,7,2,13,16,away,loss,87.0,ORLANDO MAGIC,102.0
ORLANDO MAGIC,240,40,76,8,23,14,20,2,39,18,7,3,15,15,home,win,102.0,TORONTO RAPTORS,87.0
PHOENIX SUNS,240,29,70,5,13,34,42,8,34,18,8,4,14,22,away,win,97.0,PORTLAND TRAIL BLAZERS,92.0
PORTLAND TRAIL BLAZERS,240,34,83,2,15,22,25,8,31,14,7,5,14,27,home,loss,92.0,PHOENIX SUNS,97.0
LOS ANGELES LAKERS,240,39,86,6,19,33,40,14,33,22,10,5,16,17,away,win,117.0,SACRAMENTO KINGS,105.0
SACRAMENTO KINGS,240,43,96,3,11,16,17,13,31,14,7,7,13,30,home,loss,105.0,LOS ANGELES LAKERS,117.0
NEW JERSEY NETS,240,28,75,4,17,10,16,6,36,15,7,4,12,26,away,loss,70.0,SAN ANTONIO SPURS,81.0
SAN ANTONIO SPURS,240,26,77,4,12,25,31,14,38,15,8,6,11,17,home,win,81.0,NEW JERSEY NETS,70.0
