team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
BOSTON CELTICS,240,34,72,5,12,26,29,8,31,21,7,6,12,23,away,win,99.0,ATLANTA HAWKS,89.0
ATLANTA HAWKS,240,35,81,4,18,15,24,17,24,24,6,5,14,24,home,loss,89.0,BOSTON CELTICS,99.0
LOS ANGELES CLIPPERS,240,39,87,8,26,30,38,12,38,27,5,6,12,22,away,loss,116.0,GOLDEN STATE WARRIORS,122.0
GOLDEN STATE WARRIORS,240,43,91,9,25,27,34,10,34,24,9,4,9,25,home,win,122.0,LOS ANGELES CLIPPERS,116.0
CHARLOTTE BOBCATS,240,35,84,4,13,33,43,20,39,18,7,5,14,22,away,win,107.0,INDIANA PACERS,103.0
INDIANA PACERS,240,37,91,13,39,16,25,11,32,25,5,6,11,27,home,loss,103.0,CHARLOTTE BOBCATS,107.0
MINNESOTA TIMBERWOLVES,240,49,99,5,13,11,16,24,38,20,4,7,12,28,away,win,114.0,MEMPHIS GRIZZLIES,105.0
MEMPHIS GRIZZLIES,240,36,89,7,24,26,43,17,28,17,4,3,7,15,home,loss,105.0,MINNESOTA TIMBERWOLVES,114.0
NEW JERSEY NETS,240,45,80,10,21,11,11,5,23,34,11,2,14,20,away,win,111.0,MILWAUKEE BUCKS,98.0
MILWAUKEE BUCKS,240,37,68,6,10,18,30,10,24,26,8,1,20,19,home,loss,98.0,NEW JERSEY NETS,111.0
DALLAS MAVERICKS,240,40,80,7,19,18,23,9,24,29,3,0,8,18,away,loss,105.0,PORTLAND TRAIL BLAZERS,108.0
PORTLAND TRAIL BLAZERS,240,44,75,6,10,14,19,6,27,31,7,2,9,18,home,win,108.0,DALLAS MAVERICKS,105.0
NEW ORLEANS HORNETS,240,33,86,3,18,22,28,11,35,19,10,1,15,22,away,loss,91.0,SACRAMENTO KINGS,94.0
SACRAMENTO KINGS,240,38,78,7,21,11,20,5,38,16,7,5,16,24,home,win,94.0,NEW ORLEANS HORNETS,91.0
DENVER NUGGETS,240,35,73,3,15,24,40,7,29,16,5,5,16,23,away,loss,97.0,UTAH JAZZ,124.0
UTAH JAZZ,240,50,87,5,19,19,24,8,36,37,10,8,9,26,home,win,124.0,DENVER NUGGETS,97.0
PHILADELPHIA 76ERS,240,36,77,7,17,14,19,10,26,24,8,1,15,21,away,loss,93.0,WASHINGTON WIZARDS,109.0
WASHINGTON WIZARDS,240,40,84,12,22,17,23,18,30,24,9,7,11,18,home,win,109.0,PHILADELPHIA 76ERS,93.0
