team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
INDIANA PACERS,240,35,84,8,25,17,23,10,27,22,9,2,19,21,away,loss,95.0,ATLANTA HAWKS,107.0
ATLANTA HAWKS,240,38,84,5,8,26,30,15,33,27,9,7,19,23,home,win,107.0,INDIANA PACERS,95.0
WASHINGTON WIZARDS,240,40,82,11,22,17,20,10,34,21,7,5,14,23,away,win,108.0,CHARLOTTE BOBCATS,104.0
CHARLOTTE BOBCATS,240,38,88,10,22,18,27,11,28,21,7,2,10,19,home,loss,104.0,WASHINGTON WIZARDS,108.0
MILWAUKEE BUCKS,240,38,93,10,24,19,20,12,25,24,11,4,18,22,away,loss,105.0,DENVER NUGGETS,125.0
DENVER NUGGETS,240,47,86,8,18,23,33,11,37,34,13,11,16,16,home,win,125.0,MILWAUKEE BUCKS,105.0
MINNESOTA TIMBERWOLVES,240,35,86,7,19,24,35,19,32,18,10,4,22,26,away,loss,101.0,GOLDEN STATE WARRIORS,105.0
GOLDEN STATE WARRIORS,240,38,90,8,31,21,26,13,30,26,11,10,16,24,home,win,105.0,MINNESOTA TIMBERWOLVES,101.0
NEW ORLEANS HORNETS,240,48,86,12,31,8,10,8,27,21,12,7,9,14,away,win,116.0,MEMPHIS GRIZZLIES,98.0
MEMPHIS GRIZZLIES,240,39,82,9,21,11,13,11,28,16,6,6,17,15,home,loss,98.0,NEW ORLEANS HORNETS,116.0
DETROIT PISTONS,240,42,78,4,10,13,18,6,24,27,10,2,11,17,away,win,101.0,NEW JERSEY NETS,83.0
NEW JERSEY NETS,240,30,65,3,11,20,25,9,26,23,6,3,15,17,home,loss,83.0,DETROIT PISTONS,101.0
NEW YORK KNICKS,240,35,87,8,20,18,22,12,25,18,10,0,12,24,away,loss,96.0,ORLANDO MAGIC,110.0
ORLANDO MAGIC,240,40,75,8,24,22,30,10,35,24,6,6,16,18,home,win,110.0,NEW YORK KNICKS,96.0
MIAMI HEAT,240,34,84,1,13,16,22,11,27,18,9,3,15,18,away,loss,85.0,PHILADELPHIA 76ERS,96.0
PHILADELPHIA 76ERS,240,36,72,5,16,19,25,7,33,24,6,9,17,22,home,win,96.0,MIAMI HEAT,85.0
BOSTON CELTICS,240,31,76,11,22,16,22,16,29,19,11,4,17,20,away,win,89.0,SACRAMENTO KINGS,69.0
SACRAMENTO KINGS,240,26,68,2,15,15,21,9,27,11,11,4,20,20,home,loss,69.0,BOSTON CELTICS,89.0
CHICAGO BULLS,240,34,83,4,12,7,10,12,26,22,5,5,11,20,away,loss,79.0,SAN ANTONIO SPURS,94.0
SAN ANTONIO SPURS,240,36,76,8,17,14,23,10,30,24,6,5,10,10,home,win,94.0,CHICAGO BULLS,79.0
DALLAS MAVERICKS,240,32,75,9,26,17,21,9,31,22,5,3,18,22,away,loss,90.0,UTAH JAZZ,99.0
UTAH JAZZ,240,38,76,3,10,20,26,8,30,26,12,4,11,21,home,win,99.0,DALLAS MAVERICKS,90.0
