team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
SACRAMENTO KINGS,240,36,82,11,23,19,26,12,29,19,8,5,15,22,away,win,102.0,CHICAGO BULLS,98.0
CHICAGO BULLS,240,38,80,4,10,18,24,12,32,19,8,4,18,20,home,loss,98.0,SACRAMENTO KINGS,102.0
MILWAUKEE BUCKS,240,35,83,5,16,9,20,7,37,18,8,7,15,20,away,win,84.0,INDIANA PACERS,81.0
INDIANA PACERS,240,31,87,3,17,16,22,15,41,16,9,9,18,22,home,loss,81.0,MILWAUKEE BUCKS,84.0
UTAH JAZZ,240,36,89,7,18,20,27,8,30,26,6,3,15,26,away,loss,99.0,ORLANDO MAGIC,104.0
ORLANDO MAGIC,240,32,66,9,21,31,41,5,36,14,5,9,16,21,home,win,104.0,UTAH JAZZ,99.0
CLEVELAND CAVALIERS,240,41,78,5,12,22,26,5,32,21,9,5,12,18,away,win,109.0,PHOENIX SUNS,91.0
PHOENIX SUNS,240,36,76,4,19,15,20,7,29,17,4,1,18,21,home,loss,91.0,CLEVELAND CAVALIERS,109.0
LOS ANGELES CLIPPERS,240,36,82,5,14,10,15,13,28,19,2,5,11,17,away,loss,87.0,SAN ANTONIO SPURS,103.0
SAN ANTONIO SPURS,240,39,77,5,10,20,26,9,28,24,6,4,7,16,home,win,103.0,LOS ANGELES CLIPPERS,87.0
