team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
MEMPHIS GRIZZLIES,240,36,92,2,10,27,36,14,33,17,6,9,13,27,away,loss,101.0,DENVER NUGGETS,123.0
DENVER NUGGETS,240,40,87,11,32,32,39,11,37,24,9,11,8,24,home,win,123.0,MEMPHIS GRIZZLIES,101.0
TORONTO RAPTORS,240,45,75,9,15,12,16,4,30,37,1,3,12,21,away,win,111.0,DETROIT PISTONS,97.0
DETROIT PISTONS,240,37,79,5,17,18,23,11,23,20,7,5,10,17,home,loss,97.0,TORONTO RAPTORS,111.0
ORLANDO MAGIC,240,37,77,12,32,32,43,7,46,22,12,6,15,21,away,win,118.0,INDIANA PACERS,98.0
INDIANA PACERS,240,36,88,10,29,16,24,9,29,20,9,2,14,23,home,loss,98.0,ORLANDO MAGIC,118.0
DALLAS MAVERICKS,240,45,83,11,27,16,19,8,29,37,6,4,10,15,away,win,117.0,LOS ANGELES CLIPPERS,94.0
LOS ANGELES CLIPPERS,240,38,83,6,17,12,15,11,28,23,5,3,15,19,home,loss,94.0,DALLAS MAVERICKS,117.0
ATLANTA HAWKS,240,39,74,7,16,19,27,11,37,17,4,11,12,21,away,win,104.0,MILWAUKEE BUCKS,96.0
MILWAUKEE BUCKS,240,36,93,11,32,13,17,11,23,20,5,1,4,22,home,loss,96.0,ATLANTA HAWKS,104.0
CHARLOTTE BOBCATS,240,43,87,3,7,16,17,11,36,31,3,5,13,19,away,win,105.0,NEW JERSEY NETS,95.0
NEW JERSEY NETS,240,35,89,4,24,21,25,15,28,18,8,4,11,17,home,loss,95.0,CHARLOTTE BOBCATS,105.0
WASHINGTON WIZARDS,240,41,82,10,17,11,19,14,27,25,8,7,15,21,away,loss,103.0,NEW YORK KNICKS,114.0
NEW YORK KNICKS,240,41,80,11,23,21,25,10,29,17,8,1,12,20,home,win,114.0,WASHINGTON WIZARDS,103.0
MIAMI HEAT,240,40,72,5,12,22,28,9,29,21,8,2,10,18,away,win,107.0,PHILADELPHIA 76ERS,105.0
PHILADELPHIA 76ERS,240,41,75,12,25,11,19,5,25,35,5,3,10,23,home,loss,105.0,MIAMI HEAT,107.0
OKLAHOMA CITY THUNDER,240,30,64,7,18,28,36,8,27,11,5,3,15,25,away,loss,95.0,PORTLAND TRAIL BLAZERS,103.0
PORTLAND TRAIL BLAZERS,240,40,80,3,15,20,27,8,27,20,7,3,6,23,home,win,103.0,OKLAHOMA CITY THUNDER,95.0
HOUSTON ROCKETS,240,43,83,8,24,23,23,6,29,22,5,5,12,17,away,win,117.0,SACRAMENTO KINGS,107.0
SACRAMENTO KINGS,240,41,85,5,12,20,24,7,29,21,9,2,13,20,home,loss,107.0,HOUSTON ROCKETS,117.0
MINNESOTA TIMBERWOLVES,240,39,82,9,16,24,30,6,30,21,6,4,19,27,away,loss,111.0,SAN ANTONIO SPURS,133.0
SAN ANTONIO SPURS,240,47,81,14,26,25,38,9,30,30,12,4,12,25,home,win,133.0,MINNESOTA TIMBERWOLVES,111.0
