team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
PHOENIX SUNS,240,37,74,13,24,23,30,7,32,26,7,3,15,21,away,win,110.0,BOSTON CELTICS,103.0
BOSTON CELTICS,240,45,87,4,18,9,18,12,30,30,9,7,12,22,home,loss,103.0,PHOENIX SUNS,110.0
ATLANTA HAWKS,240,33,83,2,16,15,23,7,28,10,7,11,7,20,away,loss,83.0,CHARLOTTE BOBCATS,103.0
CHARLOTTE BOBCATS,240,39,83,11,18,14,18,12,44,24,2,7,15,22,home,win,103.0,ATLANTA HAWKS,83.0
LOS ANGELES CLIPPERS,240,44,76,6,13,24,32,7,37,28,11,9,16,29,away,win,118.0,GOLDEN STATE WARRIORS,90.0
GOLDEN STATE WARRIORS,240,29,84,7,22,25,33,15,26,18,7,2,19,27,home,loss,90.0,LOS ANGELES CLIPPERS,118.0
OKLAHOMA CITY THUNDER,240,40,92,2,8,12,17,11,29,15,8,8,13,19,away,loss,94.0,HOUSTON ROCKETS,105.0
HOUSTON ROCKETS,240,42,78,6,16,15,19,8,32,26,6,10,17,17,home,win,105.0,OKLAHOMA CITY THUNDER,94.0
WASHINGTON WIZARDS,240,33,84,5,16,15,26,15,32,16,4,8,19,23,away,loss,86.0,INDIANA PACERS,102.0
INDIANA PACERS,240,34,85,7,23,27,36,14,37,19,12,10,11,23,home,win,102.0,WASHINGTON WIZARDS,86.0
MEMPHIS GRIZZLIES,240,36,79,4,7,22,29,13,24,13,4,4,11,18,away,loss,98.0,LOS ANGELES LAKERS,114.0
LOS ANGELES LAKERS,240,48,95,9,17,9,11,18,31,35,5,6,8,23,home,win,114.0,MEMPHIS GRIZZLIES,98.0
DENVER NUGGETS,240,34,72,2,13,18,24,8,26,10,10,2,19,23,away,loss,88.0,MIAMI HEAT,96.0
MIAMI HEAT,240,37,75,6,17,16,24,14,27,16,7,5,17,22,home,win,96.0,DENVER NUGGETS,88.0
MILWAUKEE BUCKS,240,34,82,7,20,12,18,17,34,20,10,2,19,20,away,win,87.0,MINNESOTA TIMBERWOLVES,72.0
MINNESOTA TIMBERWOLVES,240,29,74,4,14,10,17,8,30,11,8,6,21,23,home,loss,72.0,MILWAUKEE BUCKS,87.0
TORONTO RAPTORS,240,39,77,14,29,15,23,9,30,23,6,4,10,25,away,win,107.0,NEW ORLEANS HORNETS,90.0
NEW ORLEANS HORNETS,240,36,75,6,20,12,19,8,26,24,6,1,14,21,home,loss,90.0,TORONTO RAPTORS,107.0
CLEVELAND CAVALIERS,240,38,71,7,17,17,26,9,37,21,9,3,21,12,away,win,100.0,NEW YORK KNICKS,91.0
NEW YORK KNICKS,240,36,81,8,28,11,12,4,27,20,11,3,16,20,home,loss,91.0,CLEVELAND CAVALIERS,100.0
DETROIT PISTONS,240,38,74,4,11,23,37,7,27,13,8,3,11,31,away,loss,103.0,ORLANDO MAGIC,110.0
ORLANDO MAGIC,240,36,76,8,28,30,35,9,28,19,3,5,11,27,home,win,110.0,DETROIT PISTONS,103.0
NEW JERSEY NETS,240,39,83,4,14,12,19,12,29,25,6,4,13,24,away,loss,94.0,PHILADELPHIA 76ERS,97.0
PHILADELPHIA 76ERS,240,36,72,8,16,17,25,10,31,24,7,7,15,15,home,win,97.0,NEW JERSEY NETS,94.0
SAN ANTONIO SPURS,240,30,79,4,21,20,26,9,28,16,8,2,9,27,away,loss,84.0,PORTLAND TRAIL BLAZERS,96.0
PORTLAND TRAIL BLAZERS,240,32,74,5,17,27,30,11,37,11,7,7,12,21,home,win,96.0,SAN ANTONIO SPURS,84.0
