team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
MILWAUKEE BUCKS,240,30,78,6,25,18,24,9,30,12,9,5,16,25,away,loss,84.0,CHARLOTTE BOBCATS,94.0
CHARLOTTE BOBCATS,240,34,81,4,18,22,28,10,33,23,4,8,14,20,home,win,94.0,MILWAUKEE BUCKS,84.0
BOSTON CELTICS,240,40,80,5,19,14,21,10,34,28,8,5,25,24,away,loss,99.0,GOLDEN STATE WARRIORS,103.0
GOLDEN STATE WARRIORS,240,40,87,4,13,19,29,14,29,21,12,2,18,20,home,win,103.0,BOSTON CELTICS,99.0
WASHINGTON WIZARDS,265,41,94,11,23,18,25,15,26,19,8,7,16,26,away,loss,111.0,MEMPHIS GRIZZLIES,116.0
MEMPHIS GRIZZLIES,265,44,94,4,16,24,28,15,39,25,2,5,15,22,home,win,116.0,WASHINGTON WIZARDS,111.0
OKLAHOMA CITY THUNDER,240,36,76,0,12,33,40,13,30,21,10,5,13,18,away,win,105.0,NEW JERSEY NETS,89.0
NEW JERSEY NETS,240,34,75,1,9,20,25,8,25,24,11,3,15,28,home,loss,89.0,OKLAHOMA CITY THUNDER,105.0
LOS ANGELES LAKERS,240,40,92,6,17,17,22,13,30,13,8,4,11,25,away,loss,103.0,PHOENIX SUNS,118.0
PHOENIX SUNS,240,43,88,12,33,20,27,10,33,25,5,3,11,20,home,win,118.0,LOS ANGELES LAKERS,103.0
PHILADELPHIA 76ERS,240,45,78,3,10,11,16,8,31,25,6,6,11,22,away,win,104.0,PORTLAND TRAIL BLAZERS,93.0
PORTLAND TRAIL BLAZERS,240,35,83,5,15,18,26,15,21,19,7,4,7,16,home,loss,93.0,PHILADELPHIA 76ERS,104.0
DENVER NUGGETS,240,39,94,3,12,20,35,20,26,17,9,6,9,27,away,loss,101.0,SACRAMENTO KINGS,106.0
SACRAMENTO KINGS,240,37,80,7,14,25,33,11,37,22,3,4,17,26,home,win,106.0,DENVER NUGGETS,101.0
