team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
INDIANA PACERS,240,31,84,3,23,17,23,4,42,21,5,9,14,18,away,loss,82.0,DALLAS MAVERICKS,91.0
DALLAS MAVERICKS,240,32,83,4,14,23,31,7,46,20,6,5,13,17,home,win,91.0,INDIANA PACERS,82.0
CHARLOTTE BOBCATS,240,34,78,5,22,21,28,10,24,28,15,7,13,17,away,loss,94.0,LOS ANGELES CLIPPERS,98.0
LOS ANGELES CLIPPERS,240,36,76,9,23,17,25,15,33,28,9,6,18,22,home,win,98.0,CHARLOTTE BOBCATS,94.0
MILWAUKEE BUCKS,240,37,86,4,18,5,8,16,45,20,7,5,18,16,away,win,83.0,NEW YORK KNICKS,67.0
NEW YORK KNICKS,240,26,77,5,24,10,14,6,29,10,14,1,14,13,home,loss,67.0,MILWAUKEE BUCKS,83.0
ATLANTA HAWKS,240,39,72,8,16,19,25,7,26,21,6,5,8,20,away,win,105.0,UTAH JAZZ,100.0
UTAH JAZZ,240,41,85,4,17,14,21,19,24,24,5,6,11,21,home,loss,100.0,ATLANTA HAWKS,105.0
CHICAGO BULLS,240,36,78,5,12,18,25,10,26,20,5,5,14,19,away,loss,95.0,WASHINGTON WIZARDS,101.0
WASHINGTON WIZARDS,240,41,81,3,12,16,19,12,31,19,6,7,15,19,home,win,101.0,CHICAGO BULLS,95.0
