team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_date,location,outcome,game_score,opponent,opponent_score,field_goal_percentage,three_point_percentage,total_rebounds
PORTLAND TRAIL BLAZERS,240,41,76,8,18,18,21,9,37,19,5,5,14,25,2013-11-18,away,win,108.0,BROOKLYN NETS,98.0,0.3504273504273504,0.3076923076923077,46
BROOKLYN NETS,240,31,85,3,13,33,35,14,26,12,9,4,7,18,2013-11-18,home,loss,98.0,PORTLAND TRAIL BLAZERS,108.0,0.2672413793103448,0.1875,40
CHARLOTTE BOBCATS,240,33,91,7,16,8,16,12,32,25,6,8,9,23,2013-11-18,away,loss,81.0,CHICAGO BULLS,86.0,0.2661290322580645,0.30434782608695654,44
CHICAGO BULLS,240,27,75,6,12,26,31,9,45,17,3,8,16,18,2013-11-18,home,win,86.0,CHARLOTTE BOBCATS,81.0,0.2647058823529412,0.3333333333333333,54
PHILADELPHIA 76ERS,240,38,99,6,21,12,22,18,35,24,12,4,12,22,2013-11-18,away,loss,94.0,DALLAS MAVERICKS,97.0,0.2773722627737226,0.2222222222222222,53
DALLAS MAVERICKS,240,34,78,9,29,20,26,10,43,26,8,11,20,20,2013-11-18,home,win,97.0,PHILADELPHIA 76ERS,94.0,0.30357142857142855,0.23684210526315788,53
MEMPHIS GRIZZLIES,240,39,81,5,12,23,30,11,36,23,7,5,9,23,2013-11-18,away,win,106.0,LOS ANGELES CLIPPERS,102.0,0.325,0.29411764705882354,47
LOS ANGELES CLIPPERS,240,34,86,7,23,27,32,16,29,20,7,4,11,25,2013-11-18,home,loss,102.0,MEMPHIS GRIZZLIES,106.0,0.2833333333333333,0.23333333333333334,45
DENVER NUGGETS,240,40,83,8,23,25,43,10,35,24,7,6,11,22,2013-11-18,away,loss,113.0,OKLAHOMA CITY THUNDER,115.0,0.3252032520325203,0.25806451612903225,45
OKLAHOMA CITY THUNDER,240,38,93,13,27,26,32,19,34,24,6,6,12,27,2013-11-18,home,win,115.0,DENVER NUGGETS,113.0,0.2900763358778626,0.325,53
GOLDEN STATE WARRIORS,240,32,79,12,22,22,30,14,43,17,5,6,14,16,2013-11-18,away,win,98.0,UTAH JAZZ,87.0,0.2882882882882883,0.35294117647058826,57
UTAH JAZZ,240,32,81,7,15,16,19,6,34,18,8,5,10,21,2013-11-18,home,loss,87.0,GOLDEN STATE WARRIORS,98.0,0.2831858407079646,0.3181818181818182,40
