team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
ORLANDO MAGIC,240,35,74,8,20,10,14,8,23,22,13,2,19,23,away,loss,88.0,BROOKLYN NETS,97.0
BROOKLYN NETS,240,34,73,12,29,17,23,14,29,23,11,5,23,16,home,win,97.0,ORLANDO MAGIC,88.0
TORONTO RAPTORS,240,39,81,9,23,29,35,8,32,22,8,6,9,35,away,win,116.0,DETROIT PISTONS,107.0
DETROIT PISTONS,240,35,84,5,20,32,48,21,34,25,6,4,14,29,home,loss,107.0,TORONTO RAPTORS,116.0
OKLAHOMA CITY THUNDER,240,36,84,7,28,18,19,8,24,21,12,4,9,24,away,loss,97.0,INDIANA PACERS,102.0
INDIANA PACERS,240,38,72,9,20,17,23,10,36,23,3,4,21,21,home,win,102.0,OKLAHOMA CITY THUNDER,97.0
MEMPHIS GRIZZLIES,240,42,88,8,15,10,13,16,36,29,10,7,17,12,away,win,102.0,LOS ANGELES LAKERS,90.0
LOS ANGELES LAKERS,240,35,80,11,27,9,11,5,27,29,9,5,15,15,home,loss,90.0,MEMPHIS GRIZZLIES,102.0
CHICAGO BULLS,240,29,74,6,22,25,32,12,33,23,4,1,16,19,away,loss,89.0,NEW YORK KNICKS,100.0
NEW YORK KNICKS,240,37,81,9,25,17,21,7,29,16,9,5,9,25,home,win,100.0,CHICAGO BULLS,89.0
GOLDEN STATE WARRIORS,265,44,91,17,37,12,16,6,32,22,10,0,14,27,away,loss,117.0,PORTLAND TRAIL BLAZERS,119.0
PORTLAND TRAIL BLAZERS,265,43,86,10,24,23,32,7,39,26,7,3,14,12,home,win,119.0,GOLDEN STATE WARRIORS,117.0
MINNESOTA TIMBERWOLVES,240,35,88,7,22,26,30,10,31,26,6,5,10,20,away,loss,103.0,SACRAMENTO KINGS,106.0
SACRAMENTO KINGS,240,41,82,6,17,18,27,8,39,25,6,6,15,23,home,win,106.0,MINNESOTA TIMBERWOLVES,103.0
