team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
MIAMI HEAT,240,35,73,6,25,9,19,6,38,18,5,5,20,20,away,loss,85.0,ATLANTA HAWKS,98.0
ATLANTA HAWKS,240,36,78,10,22,16,19,5,33,24,13,2,12,22,home,win,98.0,MIAMI HEAT,85.0
PHILADELPHIA 76ERS,240,41,93,5,25,18,26,11,29,18,8,1,9,30,away,loss,105.0,CHARLOTTE BOBCATS,111.0
CHARLOTTE BOBCATS,240,39,72,7,19,26,41,9,32,23,3,9,14,22,home,win,111.0,PHILADELPHIA 76ERS,105.0
BOSTON CELTICS,240,42,90,12,30,15,18,7,40,27,5,5,9,24,away,win,111.0,CLEVELAND CAVALIERS,99.0
CLEVELAND CAVALIERS,240,37,90,5,18,20,30,15,34,22,2,2,11,20,home,loss,99.0,BOSTON CELTICS,111.0
PHOENIX SUNS,240,36,78,8,17,18,23,12,29,14,16,4,18,18,away,loss,98.0,DALLAS MAVERICKS,101.0
DALLAS MAVERICKS,240,39,79,11,24,12,15,9,33,21,11,5,19,18,home,win,101.0,PHOENIX SUNS,98.0
UTAH JAZZ,240,34,79,2,13,24,32,8,31,20,13,6,14,23,away,loss,94.0,DENVER NUGGETS,101.0
DENVER NUGGETS,240,35,84,7,22,24,29,14,38,23,5,5,18,26,home,win,101.0,UTAH JAZZ,94.0
NEW ORLEANS PELICANS,240,39,88,9,22,17,21,8,31,20,7,8,10,26,away,loss,104.0,HOUSTON ROCKETS,111.0
HOUSTON ROCKETS,240,35,74,10,27,31,39,6,30,23,10,8,13,19,home,win,111.0,NEW ORLEANS PELICANS,104.0
SACRAMENTO KINGS,240,35,82,4,9,27,33,12,26,21,5,4,10,26,away,loss,101.0,LOS ANGELES CLIPPERS,117.0
LOS ANGELES CLIPPERS,240,41,81,9,19,26,36,10,33,31,6,8,11,26,home,win,117.0,SACRAMENTO KINGS,101.0
MILWAUKEE BUCKS,240,32,68,5,8,22,34,13,29,20,5,3,20,16,away,loss,91.0,WASHINGTON WIZARDS,104.0
WASHINGTON WIZARDS,240,40,84,8,22,16,19,8,28,25,7,5,9,23,home,win,104.0,MILWAUKEE BUCKS,91.0
