team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
PORTLAND TRAIL BLAZERS,240,34,84,9,27,17,22,8,28,17,4,3,9,18,away,loss,94.0,CHARLOTTE BOBCATS,124.0
CHARLOTTE BOBCATS,240,49,94,8,19,18,19,12,38,28,7,8,5,19,home,win,124.0,PORTLAND TRAIL BLAZERS,94.0
PHILADELPHIA 76ERS,240,30,87,1,20,20,22,19,29,11,3,6,10,23,away,loss,81.0,CHICAGO BULLS,91.0
CHICAGO BULLS,240,31,70,5,14,24,31,11,33,23,6,9,15,20,home,win,91.0,PHILADELPHIA 76ERS,81.0
HOUSTON ROCKETS,240,38,79,12,35,30,34,5,26,31,9,10,13,18,away,win,118.0,CLEVELAND CAVALIERS,111.0
CLEVELAND CAVALIERS,240,46,92,6,17,13,17,13,36,32,7,4,16,27,home,loss,111.0,HOUSTON ROCKETS,118.0
SAN ANTONIO SPURS,240,35,89,10,28,19,25,9,31,24,10,6,11,18,away,win,99.0,GOLDEN STATE WARRIORS,90.0
GOLDEN STATE WARRIORS,240,31,77,3,15,25,29,11,43,21,4,8,18,20,home,loss,90.0,SAN ANTONIO SPURS,99.0
DETROIT PISTONS,240,42,93,12,29,7,13,16,30,29,9,2,15,15,away,loss,103.0,LOS ANGELES CLIPPERS,112.0
LOS ANGELES CLIPPERS,240,45,83,11,29,11,17,7,33,31,13,10,13,15,home,win,112.0,DETROIT PISTONS,103.0
INDIANA PACERS,240,27,74,6,15,11,14,8,27,14,7,5,10,19,away,loss,71.0,MEMPHIS GRIZZLIES,82.0
MEMPHIS GRIZZLIES,240,33,75,5,13,11,17,10,37,14,4,8,12,18,home,win,82.0,INDIANA PACERS,71.0
MIAMI HEAT,240,37,73,8,26,13,17,5,28,27,4,6,15,19,away,loss,95.0,NEW ORLEANS PELICANS,105.0
NEW ORLEANS PELICANS,240,43,84,7,17,12,17,11,27,23,12,4,6,14,home,win,105.0,MIAMI HEAT,95.0
ORLANDO MAGIC,240,31,79,7,17,19,24,6,39,20,7,5,13,23,away,loss,88.0,UTAH JAZZ,89.0
UTAH JAZZ,240,29,75,11,27,20,26,6,33,17,6,6,14,20,home,win,89.0,ORLANDO MAGIC,88.0
