team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
CHICAGO BULLS,240,41,82,13,33,18,27,7,36,26,11,9,17,30,away,win,113.0,ATLANTA HAWKS,93.0
ATLANTA HAWKS,240,30,74,6,30,27,35,6,35,18,7,3,24,26,home,loss,93.0,CHICAGO BULLS,113.0
ORLANDO MAGIC,240,39,80,6,24,22,28,10,34,25,14,10,18,30,away,loss,106.0,DALLAS MAVERICKS,107.0
DALLAS MAVERICKS,240,36,84,11,31,24,30,12,31,20,4,1,17,23,home,win,107.0,ORLANDO MAGIC,106.0
NEW YORK KNICKS,240,39,80,11,25,13,21,5,25,24,9,4,13,20,away,loss,102.0,DETROIT PISTONS,122.0
DETROIT PISTONS,240,44,79,15,30,19,24,8,35,37,7,1,16,17,home,win,122.0,NEW YORK KNICKS,102.0
GOLDEN STATE WARRIORS,240,38,96,13,33,23,28,16,35,22,7,1,10,12,away,loss,112.0,HOUSTON ROCKETS,129.0
HOUSTON ROCKETS,240,48,97,21,45,12,19,11,39,31,7,9,12,20,home,win,129.0,GOLDEN STATE WARRIORS,112.0
WASHINGTON WIZARDS,240,37,95,13,40,19,19,16,32,24,3,3,16,26,away,loss,106.0,INDIANA PACERS,121.0
INDIANA PACERS,240,44,94,12,30,21,26,13,35,35,8,3,13,25,home,win,121.0,WASHINGTON WIZARDS,106.0
MILWAUKEE BUCKS,240,42,98,18,49,27,34,14,40,18,7,11,15,28,away,win,129.0,LOS ANGELES CLIPPERS,124.0
LOS ANGELES CLIPPERS,240,41,98,13,31,29,36,14,40,21,4,3,19,28,home,loss,124.0,MILWAUKEE BUCKS,129.0
MINNESOTA TIMBERWOLVES,240,43,96,16,45,19,26,10,26,29,9,7,11,22,away,loss,121.0,MEMPHIS GRIZZLIES,137.0
MEMPHIS GRIZZLIES,240,50,88,12,23,25,30,8,41,34,4,3,17,22,home,win,137.0,MINNESOTA TIMBERWOLVES,121.0
SACRAMENTO KINGS,240,42,95,20,44,16,21,12,31,23,8,7,14,23,away,loss,120.0,TORONTO RAPTORS,124.0
TORONTO RAPTORS,240,43,78,14,29,24,29,2,35,28,10,4,14,20,home,win,124.0,SACRAMENTO KINGS,120.0
PHILADELPHIA 76ERS,240,33,80,8,25,30,34,7,35,20,9,3,14,20,away,loss,104.0,UTAH JAZZ,106.0
UTAH JAZZ,240,41,89,8,22,16,24,14,36,21,9,4,13,21,home,win,106.0,PHILADELPHIA 76ERS,104.0
