team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
PHILADELPHIA 76ERS,240,46,84,9,23,13,17,4,40,33,6,11,13,22,away,win,114.0,CLEVELAND CAVALIERS,95.0
CLEVELAND CAVALIERS,240,34,90,6,25,21,24,11,31,14,9,5,14,21,home,loss,95.0,PHILADELPHIA 76ERS,114.0
ATLANTA HAWKS,240,37,86,8,28,19,25,9,27,16,11,2,17,19,away,loss,101.0,LOS ANGELES LAKERS,122.0
LOS ANGELES LAKERS,240,47,89,15,35,13,16,11,32,26,9,14,16,19,home,win,122.0,ATLANTA HAWKS,101.0
DENVER NUGGETS,240,49,89,18,32,15,23,6,33,36,10,10,12,24,away,win,131.0,MEMPHIS GRIZZLIES,114.0
MEMPHIS GRIZZLIES,240,39,84,16,36,20,24,9,36,29,4,3,16,17,home,loss,114.0,DENVER NUGGETS,131.0
GOLDEN STATE WARRIORS,240,37,91,7,25,19,23,9,34,23,7,3,10,19,away,loss,100.0,NEW ORLEANS PELICANS,108.0
NEW ORLEANS PELICANS,240,37,89,18,46,16,20,11,37,24,3,5,13,21,home,win,108.0,GOLDEN STATE WARRIORS,100.0
WASHINGTON WIZARDS,240,46,97,19,41,10,12,9,29,31,7,2,9,21,away,loss,121.0,ORLANDO MAGIC,125.0
ORLANDO MAGIC,240,43,87,15,38,24,26,11,41,25,5,3,14,15,home,win,125.0,WASHINGTON WIZARDS,121.0
BOSTON CELTICS,240,34,82,10,30,21,24,10,36,26,7,3,14,14,away,loss,99.0,SACRAMENTO KINGS,100.0
SACRAMENTO KINGS,240,38,89,14,35,10,12,10,35,22,8,7,12,24,home,win,100.0,BOSTON CELTICS,99.0
