team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
MINNESOTA TIMBERWOLVES,240,38,85,4,21,11,12,10,30,21,12,4,14,21,away,loss,91.0,ATLANTA HAWKS,93.0
ATLANTA HAWKS,240,32,78,7,21,22,27,14,37,21,8,6,19,14,home,win,93.0,MINNESOTA TIMBERWOLVES,91.0
GOLDEN STATE WARRIORS,240,35,84,5,20,25,32,12,29,18,8,5,13,31,away,loss,100.0,CHARLOTTE BOBCATS,112.0
CHARLOTTE BOBCATS,240,38,76,7,13,29,38,8,29,21,3,2,14,25,home,win,112.0,GOLDEN STATE WARRIORS,100.0
TORONTO RAPTORS,240,30,86,3,10,1,7,14,36,17,3,4,9,15,away,loss,64.0,CHICAGO BULLS,77.0
CHICAGO BULLS,240,33,82,4,15,7,12,12,40,19,6,6,5,7,home,win,77.0,TORONTO RAPTORS,64.0
SACRAMENTO KINGS,240,22,86,2,21,14,18,16,34,10,11,3,15,21,away,loss,60.0,DALLAS MAVERICKS,99.0
DALLAS MAVERICKS,240,37,81,7,16,18,25,12,47,19,10,6,16,16,home,win,99.0,SACRAMENTO KINGS,60.0
PORTLAND TRAIL BLAZERS,265,37,90,9,26,22,31,17,29,18,10,11,13,25,away,loss,105.0,HOUSTON ROCKETS,107.0
HOUSTON ROCKETS,265,39,93,5,18,24,28,19,35,20,8,4,17,30,home,win,107.0,PORTLAND TRAIL BLAZERS,105.0
BOSTON CELTICS,240,32,83,5,15,14,18,15,30,20,4,6,18,24,away,loss,83.0,INDIANA PACERS,97.0
INDIANA PACERS,240,35,94,5,16,22,23,20,32,14,12,10,14,18,home,win,97.0,BOSTON CELTICS,83.0
LOS ANGELES LAKERS,240,35,77,5,12,19,25,11,31,24,3,2,9,26,away,loss,94.0,LOS ANGELES CLIPPERS,102.0
LOS ANGELES CLIPPERS,240,35,85,9,21,23,30,17,33,17,5,1,9,22,home,win,102.0,LOS ANGELES LAKERS,94.0
NEW ORLEANS HORNETS,240,35,75,4,10,25,31,12,31,19,5,8,15,30,away,loss,99.0,MEMPHIS GRIZZLIES,108.0
MEMPHIS GRIZZLIES,240,35,78,5,10,33,41,13,27,16,7,5,9,19,home,win,108.0,NEW ORLEANS HORNETS,99.0
NEW YORK KNICKS,240,34,83,5,19,19,23,15,28,18,12,3,20,23,away,loss,92.0,OKLAHOMA CITY THUNDER,104.0
OKLAHOMA CITY THUNDER,240,34,71,7,18,29,34,7,31,18,12,11,21,22,home,win,104.0,NEW YORK KNICKS,92.0
NEW JERSEY NETS,240,32,74,9,27,21,27,8,24,21,9,5,16,20,away,loss,94.0,UTAH JAZZ,107.0
UTAH JAZZ,240,42,81,3,8,20,26,14,34,27,13,4,17,26,home,win,107.0,NEW JERSEY NETS,94.0
PHILADELPHIA 76ERS,240,37,86,6,16,23,27,8,29,20,12,6,7,16,away,win,103.0,WASHINGTON WIZARDS,90.0
WASHINGTON WIZARDS,240,38,88,3,14,11,17,17,36,19,2,8,18,18,home,loss,90.0,PHILADELPHIA 76ERS,103.0
