team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
NEW YORK KNICKS,240,39,78,7,19,26,33,13,40,26,6,8,13,21,away,win,111.0,CHARLOTTE BOBCATS,78.0
CHARLOTTE BOBCATS,240,27,82,3,11,21,22,9,24,10,5,8,13,22,home,loss,78.0,NEW YORK KNICKS,111.0
ORLANDO MAGIC,240,38,83,13,32,13,19,13,27,22,13,9,13,19,away,win,102.0,INDIANA PACERS,83.0
INDIANA PACERS,240,31,78,3,11,18,18,12,30,8,3,7,19,17,home,loss,83.0,ORLANDO MAGIC,102.0
CLEVELAND CAVALIERS,240,34,68,6,16,11,17,7,26,20,10,4,20,27,away,loss,85.0,MIAMI HEAT,92.0
MIAMI HEAT,240,32,70,5,18,23,26,6,23,16,10,5,17,15,home,win,92.0,CLEVELAND CAVALIERS,85.0
TORONTO RAPTORS,240,34,82,8,15,23,25,11,35,18,10,2,16,22,away,win,99.0,PHOENIX SUNS,96.0
PHOENIX SUNS,240,39,82,5,16,13,17,8,32,23,7,4,15,20,home,loss,96.0,TORONTO RAPTORS,99.0
MEMPHIS GRIZZLIES,240,34,90,3,14,13,17,11,28,21,10,3,11,24,away,loss,84.0,PORTLAND TRAIL BLAZERS,97.0
PORTLAND TRAIL BLAZERS,240,31,72,5,22,30,36,11,39,16,8,6,20,18,home,win,97.0,MEMPHIS GRIZZLIES,84.0
