team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
DETROIT PISTONS,240,32,92,7,25,13,19,15,37,17,4,4,14,19,away,loss,84.0,ATLANTA HAWKS,116.0
ATLANTA HAWKS,240,42,85,8,28,24,29,6,44,27,11,4,7,17,home,win,116.0,DETROIT PISTONS,84.0
ORLANDO MAGIC,240,36,78,6,24,20,30,17,26,17,8,2,15,23,away,loss,98.0,BOSTON CELTICS,102.0
BOSTON CELTICS,240,38,70,3,7,23,27,3,26,23,6,6,15,20,home,win,102.0,ORLANDO MAGIC,98.0
CHICAGO BULLS,240,40,83,9,19,11,19,16,41,29,3,6,9,17,away,win,100.0,CHARLOTTE BOBCATS,68.0
CHARLOTTE BOBCATS,240,25,84,1,8,17,23,14,24,15,5,6,6,15,home,loss,68.0,CHICAGO BULLS,100.0
PHILADELPHIA 76ERS,240,43,82,9,15,8,10,9,37,32,9,3,16,20,away,win,103.0,CLEVELAND CAVALIERS,87.0
CLEVELAND CAVALIERS,240,36,79,5,14,10,16,5,28,22,2,3,13,9,home,loss,87.0,PHILADELPHIA 76ERS,103.0
HOUSTON ROCKETS,240,43,86,12,28,12,15,13,28,23,7,1,12,24,away,loss,110.0,DALLAS MAVERICKS,117.0
DALLAS MAVERICKS,240,41,79,11,26,24,26,10,29,21,6,1,12,16,home,win,117.0,HOUSTON ROCKETS,110.0
LOS ANGELES CLIPPERS,240,38,78,14,24,14,20,10,25,21,11,7,17,28,away,win,104.0,DENVER NUGGETS,98.0
DENVER NUGGETS,240,36,73,5,18,21,26,8,31,19,5,3,15,21,home,loss,98.0,LOS ANGELES CLIPPERS,104.0
LOS ANGELES LAKERS,240,37,79,4,16,21,28,11,44,34,7,6,14,10,away,win,99.0,GOLDEN STATE WARRIORS,87.0
GOLDEN STATE WARRIORS,240,38,90,4,19,7,10,7,33,23,8,3,11,22,home,loss,87.0,LOS ANGELES LAKERS,99.0
NEW ORLEANS HORNETS,240,29,60,2,7,31,38,11,24,15,8,6,22,16,away,loss,91.0,MEMPHIS GRIZZLIES,103.0
MEMPHIS GRIZZLIES,240,42,83,8,22,11,13,12,19,22,12,8,11,24,home,win,103.0,NEW ORLEANS HORNETS,91.0
TORONTO RAPTORS,240,30,72,1,16,11,15,10,21,12,7,5,14,17,away,loss,72.0,MIAMI HEAT,96.0
MIAMI HEAT,240,40,76,7,17,9,15,11,30,25,9,3,14,16,home,win,96.0,TORONTO RAPTORS,72.0
NEW YORK KNICKS,240,36,83,13,35,19,24,9,32,22,11,5,9,17,away,win,104.0,NEW JERSEY NETS,95.0
NEW JERSEY NETS,240,35,78,10,25,15,17,9,35,16,2,4,17,21,home,loss,95.0,NEW YORK KNICKS,104.0
OKLAHOMA CITY THUNDER,240,36,80,6,16,31,34,11,35,17,8,6,13,26,away,win,109.0,PHOENIX SUNS,97.0
PHOENIX SUNS,240,34,83,6,20,23,32,12,31,18,3,4,14,21,home,loss,97.0,OKLAHOMA CITY THUNDER,109.0
UTAH JAZZ,240,38,80,10,17,26,32,12,37,23,9,4,14,18,away,win,112.0,PORTLAND TRAIL BLAZERS,91.0
PORTLAND TRAIL BLAZERS,240,31,79,6,20,23,29,13,26,18,7,5,17,20,home,loss,91.0,UTAH JAZZ,112.0
SAN ANTONIO SPURS,240,47,80,8,21,25,31,9,31,26,7,3,11,20,away,win,127.0,SACRAMENTO KINGS,102.0
SACRAMENTO KINGS,240,41,92,6,21,14,20,14,22,22,4,5,11,23,home,loss,102.0,SAN ANTONIO SPURS,127.0
MILWAUKEE BUCKS,240,42,93,5,19,23,27,15,33,22,8,5,10,21,away,loss,112.0,WASHINGTON WIZARDS,121.0
WASHINGTON WIZARDS,240,49,88,7,13,16,25,9,32,23,6,4,10,18,home,win,121.0,MILWAUKEE BUCKS,112.0
