team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
NEW JERSEY NETS,240,30,74,4,20,6,10,10,24,15,8,1,13,23,away,loss,70.0,BOSTON CELTICS,89.0
BOSTON CELTICS,240,35,71,6,16,13,21,12,33,24,7,4,13,20,home,win,89.0,NEW JERSEY NETS,70.0
PHOENIX SUNS,240,37,82,5,17,10,15,11,31,18,6,3,15,21,away,loss,89.0,DALLAS MAVERICKS,98.0
DALLAS MAVERICKS,240,38,91,8,22,14,21,19,34,30,10,2,13,19,home,win,98.0,PHOENIX SUNS,89.0
SACRAMENTO KINGS,240,30,93,2,21,21,24,15,21,12,16,7,16,17,away,loss,83.0,DENVER NUGGETS,110.0
DENVER NUGGETS,240,46,76,3,9,15,22,7,43,31,14,11,27,22,home,win,110.0,SACRAMENTO KINGS,83.0
CHICAGO BULLS,240,40,76,5,12,14,21,8,32,31,6,5,15,12,away,win,99.0,DETROIT PISTONS,83.0
DETROIT PISTONS,240,36,88,1,6,10,12,11,27,18,9,1,11,16,home,loss,83.0,CHICAGO BULLS,99.0
HOUSTON ROCKETS,240,35,76,7,16,12,17,6,27,15,3,0,19,23,away,loss,89.0,LOS ANGELES CLIPPERS,117.0
LOS ANGELES CLIPPERS,240,47,82,6,16,17,24,5,28,30,12,3,7,17,home,win,117.0,HOUSTON ROCKETS,89.0
INDIANA PACERS,240,24,69,5,19,30,39,9,27,12,7,3,23,26,away,loss,83.0,MIAMI HEAT,118.0
MIAMI HEAT,240,42,80,8,21,26,28,7,35,25,12,1,13,25,home,win,118.0,INDIANA PACERS,83.0
MEMPHIS GRIZZLIES,240,33,80,3,9,21,25,14,32,16,13,2,10,19,away,win,90.0,MINNESOTA TIMBERWOLVES,86.0
MINNESOTA TIMBERWOLVES,240,33,82,7,21,13,24,17,33,15,5,3,17,20,home,loss,86.0,MEMPHIS GRIZZLIES,90.0
PHILADELPHIA 76ERS,240,41,86,4,16,15,18,11,27,22,8,7,8,19,away,win,101.0,NEW ORLEANS HORNETS,93.0
NEW ORLEANS HORNETS,240,35,79,3,10,20,25,12,30,21,6,5,13,18,home,loss,93.0,PHILADELPHIA 76ERS,101.0
CHARLOTTE BOBCATS,240,47,85,7,11,17,21,7,30,27,9,0,13,16,away,win,118.0,NEW YORK KNICKS,110.0
NEW YORK KNICKS,240,42,85,11,29,15,20,11,29,19,8,5,17,20,home,loss,110.0,CHARLOTTE BOBCATS,118.0
WASHINGTON WIZARDS,240,34,93,2,12,15,18,14,30,12,7,8,9,21,away,loss,85.0,ORLANDO MAGIC,103.0
ORLANDO MAGIC,240,39,85,8,19,17,25,17,37,27,4,3,15,13,home,win,103.0,WASHINGTON WIZARDS,85.0
GOLDEN STATE WARRIORS,240,37,80,9,20,12,19,5,32,18,9,6,10,20,away,loss,95.0,SAN ANTONIO SPURS,101.0
SAN ANTONIO SPURS,240,37,78,10,17,17,24,9,36,23,4,7,13,14,home,win,101.0,GOLDEN STATE WARRIORS,95.0
CLEVELAND CAVALIERS,240,24,81,7,23,22,26,13,32,16,6,6,11,17,away,loss,77.0,TORONTO RAPTORS,92.0
TORONTO RAPTORS,240,36,77,10,27,10,13,7,36,23,4,4,11,18,home,win,92.0,CLEVELAND CAVALIERS,77.0
