team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
TORONTO RAPTORS,240,37,81,4,17,18,24,10,23,20,12,2,13,25,away,loss,96.0,BOSTON CELTICS,110.0
BOSTON CELTICS,240,35,64,9,21,31,40,4,32,24,8,3,17,23,home,win,110.0,TORONTO RAPTORS,96.0
CHARLOTTE BOBCATS,265,44,98,7,25,23,31,15,31,21,10,3,10,30,away,loss,118.0,CLEVELAND CAVALIERS,120.0
CLEVELAND CAVALIERS,265,43,79,9,16,25,35,8,38,31,8,9,19,26,home,win,120.0,CHARLOTTE BOBCATS,118.0
SAN ANTONIO SPURS,240,32,77,7,20,21,34,7,20,23,7,4,12,22,away,loss,92.0,DENVER NUGGETS,104.0
DENVER NUGGETS,240,39,83,4,9,22,29,16,42,23,4,4,17,26,home,win,104.0,SAN ANTONIO SPURS,92.0
MIAMI HEAT,240,28,74,7,17,10,14,10,37,21,4,3,15,23,away,loss,73.0,DETROIT PISTONS,82.0
DETROIT PISTONS,240,29,83,6,22,18,23,12,33,19,8,8,5,13,home,win,82.0,MIAMI HEAT,73.0
CHICAGO BULLS,240,33,82,2,15,17,25,10,30,16,5,5,12,30,away,loss,85.0,INDIANA PACERS,95.0
INDIANA PACERS,240,32,75,3,14,28,39,7,37,20,8,7,12,23,home,win,95.0,CHICAGO BULLS,85.0
SACRAMENTO KINGS,240,33,77,5,18,9,11,10,30,19,4,3,19,23,away,loss,80.0,LOS ANGELES LAKERS,87.0
LOS ANGELES LAKERS,240,34,79,6,14,13,23,12,26,22,13,3,13,14,home,win,87.0,SACRAMENTO KINGS,80.0
NEW YORK KNICKS,240,30,63,5,13,22,29,9,23,12,2,4,21,23,away,loss,87.0,ORLANDO MAGIC,111.0
ORLANDO MAGIC,240,42,82,4,8,23,27,14,26,22,10,6,8,23,home,win,111.0,NEW YORK KNICKS,87.0
ATLANTA HAWKS,240,38,75,6,14,24,31,10,24,28,10,4,19,24,away,loss,106.0,PHILADELPHIA 76ERS,115.0
PHILADELPHIA 76ERS,240,41,81,10,15,23,30,13,26,25,12,5,13,25,home,win,115.0,ATLANTA HAWKS,106.0
MILWAUKEE BUCKS,240,39,82,5,17,22,32,9,28,23,7,3,14,29,away,loss,105.0,SEATTLE SUPERSONICS,114.0
SEATTLE SUPERSONICS,240,34,73,5,12,41,51,12,33,24,9,3,15,29,home,win,114.0,MILWAUKEE BUCKS,105.0
