team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
WASHINGTON WIZARDS,240,30,76,5,19,17,25,12,31,16,5,2,20,24,away,loss,82.0,CHARLOTTE BOBCATS,100.0
CHARLOTTE BOBCATS,240,40,88,5,18,15,26,18,32,21,10,6,18,26,home,win,100.0,WASHINGTON WIZARDS,82.0
MINNESOTA TIMBERWOLVES,240,34,69,6,14,15,20,6,33,18,4,9,16,23,away,win,89.0,CLEVELAND CAVALIERS,85.0
CLEVELAND CAVALIERS,240,28,88,7,21,22,24,21,27,8,8,6,11,22,home,loss,85.0,MINNESOTA TIMBERWOLVES,89.0
MEMPHIS GRIZZLIES,240,41,74,7,15,23,32,11,28,23,10,4,15,28,away,win,112.0,DALLAS MAVERICKS,92.0
DALLAS MAVERICKS,240,31,71,5,14,25,35,17,22,11,11,4,17,28,home,loss,92.0,MEMPHIS GRIZZLIES,112.0
TORONTO RAPTORS,240,34,79,1,13,22,30,11,25,15,9,2,13,23,away,loss,91.0,GOLDEN STATE WARRIORS,117.0
GOLDEN STATE WARRIORS,240,47,83,5,21,18,24,10,35,37,5,4,16,20,home,win,117.0,TORONTO RAPTORS,91.0
CHICAGO BULLS,240,35,73,5,13,19,30,5,32,21,5,6,10,22,away,win,94.0,HOUSTON ROCKETS,89.0
HOUSTON ROCKETS,240,28,76,5,15,28,31,11,36,18,5,4,13,26,home,loss,89.0,CHICAGO BULLS,94.0
DETROIT PISTONS,240,26,70,7,18,26,32,11,30,16,9,5,7,19,away,win,85.0,MILWAUKEE BUCKS,76.0
MILWAUKEE BUCKS,240,30,76,6,10,10,17,16,35,16,3,2,15,23,home,loss,76.0,DETROIT PISTONS,85.0
PHILADELPHIA 76ERS,265,38,88,6,15,20,26,13,29,19,4,7,12,27,away,loss,102.0,NEW YORK KNICKS,105.0
NEW YORK KNICKS,265,42,105,3,14,18,24,19,34,16,5,5,11,24,home,win,105.0,PHILADELPHIA 76ERS,102.0
MIAMI HEAT,240,26,81,6,21,19,29,19,32,13,6,8,15,28,away,loss,77.0,ORLANDO MAGIC,80.0
ORLANDO MAGIC,240,27,77,1,7,25,32,16,31,11,5,6,11,20,home,win,80.0,MIAMI HEAT,77.0
NEW ORLEANS/OKLAHOMA CITY HORNETS,240,33,71,5,10,34,41,12,27,19,6,2,17,24,away,win,105.0,SEATTLE SUPERSONICS,99.0
SEATTLE SUPERSONICS,240,39,93,9,31,12,18,14,22,22,8,7,11,30,home,loss,99.0,NEW ORLEANS/OKLAHOMA CITY HORNETS,105.0
