team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
CHICAGO BULLS,240,37,84,3,14,24,27,14,37,16,5,4,11,27,away,win,101.0,INDIANA PACERS,89.0
INDIANA PACERS,240,26,67,7,18,30,39,5,30,17,7,6,15,24,home,loss,89.0,CHICAGO BULLS,101.0
CHARLOTTE BOBCATS,240,31,81,4,14,25,31,14,22,22,15,1,15,24,away,loss,91.0,MILWAUKEE BUCKS,101.0
MILWAUKEE BUCKS,240,39,72,6,15,17,25,13,38,28,9,7,24,24,home,win,101.0,CHARLOTTE BOBCATS,91.0
BOSTON CELTICS,240,31,74,4,12,17,27,7,26,21,10,6,15,24,away,loss,83.0,NEW JERSEY NETS,103.0
NEW JERSEY NETS,240,35,75,4,17,29,37,14,35,22,7,4,14,28,home,win,103.0,BOSTON CELTICS,83.0
NEW ORLEANS/OKLAHOMA CITY HORNETS,240,38,78,6,10,27,32,8,26,25,8,6,15,28,away,win,109.0,NEW YORK KNICKS,98.0
NEW YORK KNICKS,240,35,75,1,11,27,35,13,26,16,8,6,19,29,home,loss,98.0,NEW ORLEANS/OKLAHOMA CITY HORNETS,109.0
SACRAMENTO KINGS,265,32,87,5,26,9,11,12,37,17,6,2,17,28,away,loss,78.0,ORLANDO MAGIC,83.0
ORLANDO MAGIC,265,29,86,0,12,25,31,14,39,14,7,4,14,16,home,win,83.0,SACRAMENTO KINGS,78.0
CLEVELAND CAVALIERS,240,38,70,10,22,22,26,6,32,14,8,3,18,22,away,win,108.0,UTAH JAZZ,90.0
UTAH JAZZ,240,36,77,1,10,17,24,8,27,19,8,1,13,21,home,loss,90.0,CLEVELAND CAVALIERS,108.0
