team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
CHARLOTTE BOBCATS,240,39,76,2,10,25,34,11,28,25,7,8,13,20,away,win,105.0,CHICAGO BULLS,92.0
CHICAGO BULLS,240,34,78,9,24,15,21,16,19,21,7,3,19,27,home,loss,92.0,CHARLOTTE BOBCATS,105.0
UTAH JAZZ,240,35,75,0,8,15,19,9,21,26,4,1,20,28,away,loss,85.0,CLEVELAND CAVALIERS,110.0
CLEVELAND CAVALIERS,240,36,63,6,11,32,44,8,25,20,12,8,16,23,home,win,110.0,UTAH JAZZ,85.0
PORTLAND TRAIL BLAZERS,240,35,70,1,11,18,26,12,28,17,6,4,16,26,away,loss,89.0,DETROIT PISTONS,93.0
DETROIT PISTONS,240,28,71,6,15,31,34,14,22,20,7,9,8,22,home,win,93.0,PORTLAND TRAIL BLAZERS,89.0
DALLAS MAVERICKS,240,34,92,2,15,20,30,16,26,14,8,5,12,28,away,loss,90.0,LOS ANGELES LAKERS,112.0
LOS ANGELES LAKERS,240,36,72,6,18,34,48,6,37,19,8,7,18,29,home,win,112.0,DALLAS MAVERICKS,90.0
ATLANTA HAWKS,240,33,79,2,11,24,34,7,27,15,7,3,11,29,away,loss,92.0,MIAMI HEAT,111.0
MIAMI HEAT,240,40,78,4,11,27,35,12,39,24,5,5,14,30,home,win,111.0,ATLANTA HAWKS,92.0
SAN ANTONIO SPURS,265,44,91,4,16,15,20,15,27,23,5,6,11,28,away,loss,107.0,MILWAUKEE BUCKS,109.0
MILWAUKEE BUCKS,265,41,89,6,10,21,31,17,28,18,6,3,11,21,home,win,109.0,SAN ANTONIO SPURS,107.0
LOS ANGELES CLIPPERS,240,33,79,2,10,17,25,6,31,24,11,2,15,29,away,loss,85.0,NEW JERSEY NETS,99.0
NEW JERSEY NETS,240,36,70,4,14,23,33,5,40,27,7,4,14,21,home,win,99.0,LOS ANGELES CLIPPERS,85.0
SEATTLE SUPERSONICS,240,30,91,6,25,17,23,21,28,10,9,0,17,21,away,loss,83.0,PHOENIX SUNS,111.0
PHOENIX SUNS,240,43,82,10,33,15,19,11,31,27,7,10,14,23,home,win,111.0,SEATTLE SUPERSONICS,83.0
