team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_date,location,outcome,game_score,opponent,opponent_score,field_goal_percentage,three_point_percentage,total_rebounds
INDIANA PACERS,240,41,94,10,24,23,29,7,29,32,7,5,9,23,2009-01-05,away,loss,115.0,DENVER NUGGETS,135.0,0.3037037037037037,0.29411764705882354,36
DENVER NUGGETS,240,50,86,10,24,25,35,8,41,38,6,8,15,25,2009-01-05,home,win,135.0,INDIANA PACERS,115.0,0.36764705882352944,0.29411764705882354,49
SAN ANTONIO SPURS,240,35,75,10,22,11,15,7,34,19,7,3,12,10,2009-01-05,away,win,91.0,MIAMI HEAT,84.0,0.3181818181818182,0.3125,41
MIAMI HEAT,240,36,81,6,16,6,8,7,33,24,7,1,12,12,2009-01-05,home,loss,84.0,SAN ANTONIO SPURS,91.0,0.3076923076923077,0.2727272727272727,40
TORONTO RAPTORS,240,39,72,6,14,13,19,5,27,27,6,3,15,21,2009-01-05,away,loss,97.0,MILWAUKEE BUCKS,107.0,0.35135135135135137,0.3,32
MILWAUKEE BUCKS,240,38,79,11,26,20,24,10,27,24,9,1,11,17,2009-01-05,home,win,107.0,TORONTO RAPTORS,97.0,0.3247863247863248,0.2972972972972973,37
SACRAMENTO KINGS,240,35,83,5,19,15,19,9,29,24,11,2,6,24,2009-01-05,away,loss,90.0,NEW JERSEY NETS,98.0,0.2966101694915254,0.20833333333333334,38
NEW JERSEY NETS,240,34,73,10,20,20,35,14,39,24,3,6,16,20,2009-01-05,home,win,98.0,SACRAMENTO KINGS,90.0,0.3177570093457944,0.3333333333333333,53
GOLDEN STATE WARRIORS,240,40,80,9,20,25,33,9,29,20,7,2,15,28,2009-01-05,away,loss,114.0,UTAH JAZZ,119.0,0.3333333333333333,0.3103448275862069,38
UTAH JAZZ,240,43,88,3,13,30,39,17,32,26,6,6,10,23,2009-01-05,home,win,119.0,GOLDEN STATE WARRIORS,114.0,0.3282442748091603,0.1875,49
