team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
DETROIT PISTONS,240,32,86,5,16,9,13,16,31,21,2,2,10,15,away,loss,78.0,CLEVELAND CAVALIERS,99.0
CLEVELAND CAVALIERS,240,35,77,10,18,19,24,10,35,24,9,6,5,13,home,win,99.0,DETROIT PISTONS,78.0
CHARLOTTE BOBCATS,240,27,75,4,19,20,24,11,29,15,7,1,21,20,away,loss,78.0,HOUSTON ROCKETS,99.0
HOUSTON ROCKETS,240,36,72,13,27,14,19,8,30,24,14,5,14,22,home,win,99.0,CHARLOTTE BOBCATS,78.0
CHICAGO BULLS,240,34,79,6,15,17,25,10,36,19,4,9,14,20,away,loss,91.0,INDIANA PACERS,98.0
INDIANA PACERS,240,36,90,8,15,18,23,17,32,19,8,2,10,18,home,win,98.0,CHICAGO BULLS,91.0
DENVER NUGGETS,240,38,75,6,15,35,42,15,33,21,7,7,24,31,away,loss,117.0,MILWAUKEE BUCKS,120.0
MILWAUKEE BUCKS,240,39,85,10,21,32,43,14,17,26,11,3,13,32,home,win,120.0,DENVER NUGGETS,117.0
LOS ANGELES LAKERS,240,43,82,5,13,20,27,4,32,32,12,3,15,20,away,win,111.0,MINNESOTA TIMBERWOLVES,108.0
MINNESOTA TIMBERWOLVES,240,42,84,10,25,14,19,8,27,26,11,3,19,24,home,loss,108.0,LOS ANGELES LAKERS,111.0
MIAMI HEAT,240,37,89,6,21,19,20,7,21,14,8,5,5,21,away,loss,99.0,ORLANDO MAGIC,122.0
ORLANDO MAGIC,240,41,75,17,33,23,30,10,43,22,3,5,16,21,home,win,122.0,MIAMI HEAT,99.0
BOSTON CELTICS,240,46,73,8,18,28,40,8,32,17,5,2,19,25,away,win,128.0,PHOENIX SUNS,108.0
PHOENIX SUNS,240,42,84,7,16,17,26,7,19,19,9,3,15,26,home,loss,108.0,BOSTON CELTICS,128.0
LOS ANGELES CLIPPERS,240,29,79,8,25,21,31,10,28,17,10,4,16,15,away,loss,87.0,PORTLAND TRAIL BLAZERS,116.0
PORTLAND TRAIL BLAZERS,240,48,92,10,27,10,16,14,42,38,6,0,15,22,home,win,116.0,LOS ANGELES CLIPPERS,87.0
NEW YORK KNICKS,240,39,91,10,22,12,17,10,33,25,7,2,13,13,away,loss,100.0,TORONTO RAPTORS,111.0
TORONTO RAPTORS,240,44,86,8,15,15,19,7,43,27,7,4,13,19,home,win,111.0,NEW YORK KNICKS,100.0
