team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
SACRAMENTO KINGS,240,33,75,8,19,26,30,9,24,18,2,2,14,25,away,loss,100.0,BOSTON CELTICS,119.0
BOSTON CELTICS,240,44,80,9,13,22,27,11,29,30,9,6,11,25,home,win,119.0,SACRAMENTO KINGS,100.0
GOLDEN STATE WARRIORS,240,34,88,6,11,19,21,8,30,18,8,5,14,21,away,loss,93.0,DALLAS MAVERICKS,117.0
DALLAS MAVERICKS,240,44,89,8,14,21,26,14,39,25,6,8,16,18,home,win,117.0,GOLDEN STATE WARRIORS,93.0
PHILADELPHIA 76ERS,240,37,81,1,12,20,21,13,35,18,11,14,18,19,away,win,95.0,HOUSTON ROCKETS,93.0
HOUSTON ROCKETS,240,37,90,8,20,11,16,14,26,24,12,2,15,15,home,loss,93.0,PHILADELPHIA 76ERS,95.0
MILWAUKEE BUCKS,240,32,69,3,13,32,38,4,27,14,8,4,21,27,away,loss,99.0,INDIANA PACERS,107.0
INDIANA PACERS,240,41,79,5,15,20,31,10,32,18,9,1,22,31,home,win,107.0,MILWAUKEE BUCKS,99.0
CHICAGO BULLS,240,37,78,1,7,20,25,15,37,31,9,9,16,16,away,win,95.0,LOS ANGELES CLIPPERS,75.0
LOS ANGELES CLIPPERS,240,27,75,6,20,15,21,8,25,19,10,8,13,19,home,loss,75.0,CHICAGO BULLS,95.0
WASHINGTON WIZARDS,240,30,81,2,13,9,13,10,32,14,6,1,18,17,away,loss,71.0,MIAMI HEAT,93.0
MIAMI HEAT,240,32,82,10,32,19,22,10,39,23,11,9,9,16,home,win,93.0,WASHINGTON WIZARDS,71.0
DETROIT PISTONS,240,36,74,3,8,23,30,8,29,19,8,4,7,16,away,win,98.0,MINNESOTA TIMBERWOLVES,89.0
MINNESOTA TIMBERWOLVES,240,37,77,2,12,13,16,8,30,19,2,4,11,20,home,loss,89.0,DETROIT PISTONS,98.0
TORONTO RAPTORS,240,39,70,11,22,18,24,5,30,25,5,4,14,17,away,win,107.0,NEW JERSEY NETS,106.0
NEW JERSEY NETS,240,37,80,15,32,17,22,6,26,21,10,1,9,19,home,loss,106.0,TORONTO RAPTORS,107.0
DENVER NUGGETS,240,33,74,4,22,11,16,7,29,18,6,4,18,23,away,loss,81.0,NEW ORLEANS HORNETS,94.0
NEW ORLEANS HORNETS,240,34,70,7,18,19,25,6,29,23,10,3,15,21,home,win,94.0,DENVER NUGGETS,81.0
ATLANTA HAWKS,240,41,85,5,17,17,32,7,30,19,14,4,9,17,away,loss,104.0,NEW YORK KNICKS,112.0
NEW YORK KNICKS,240,44,88,7,22,17,23,13,38,22,7,2,16,19,home,win,112.0,ATLANTA HAWKS,104.0
MEMPHIS GRIZZLIES,265,37,85,8,21,20,25,7,31,17,10,2,13,23,away,loss,102.0,OKLAHOMA CITY THUNDER,114.0
OKLAHOMA CITY THUNDER,265,44,86,8,13,18,29,12,35,25,8,8,15,17,home,win,114.0,MEMPHIS GRIZZLIES,102.0
CHARLOTTE BOBCATS,240,29,70,4,9,12,17,7,19,15,5,4,15,24,away,loss,74.0,PORTLAND TRAIL BLAZERS,88.0
PORTLAND TRAIL BLAZERS,240,33,73,2,15,20,27,17,28,18,8,8,17,20,home,win,88.0,CHARLOTTE BOBCATS,74.0
