team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
NEW JERSEY NETS,240,38,83,9,29,14,18,9,33,20,6,5,6,23,away,win,99.0,MEMPHIS GRIZZLIES,88.0
MEMPHIS GRIZZLIES,240,30,70,6,14,22,30,9,32,17,5,3,11,20,home,loss,88.0,NEW JERSEY NETS,99.0
ORLANDO MAGIC,240,33,69,9,25,22,28,5,36,17,1,4,14,24,away,loss,97.0,MIAMI HEAT,103.0
MIAMI HEAT,240,37,78,5,14,24,32,6,30,16,3,1,4,21,home,win,103.0,ORLANDO MAGIC,97.0
SACRAMENTO KINGS,240,35,77,7,20,27,30,10,25,23,7,1,12,23,away,loss,104.0,MILWAUKEE BUCKS,106.0
MILWAUKEE BUCKS,240,40,87,3,12,23,32,18,31,26,7,5,12,23,home,win,106.0,SACRAMENTO KINGS,104.0
NEW YORK KNICKS,240,39,80,15,32,17,22,10,23,25,7,0,15,26,away,loss,110.0,PHILADELPHIA 76ERS,116.0
PHILADELPHIA 76ERS,240,42,78,6,15,26,32,12,29,22,10,8,12,16,home,win,116.0,NEW YORK KNICKS,110.0
WASHINGTON WIZARDS,240,32,67,10,16,13,17,8,30,22,4,4,26,24,away,loss,87.0,PORTLAND TRAIL BLAZERS,100.0
PORTLAND TRAIL BLAZERS,240,35,80,7,17,23,31,15,25,20,21,6,10,22,home,win,100.0,WASHINGTON WIZARDS,87.0
CLEVELAND CAVALIERS,240,40,79,10,27,12,20,9,30,23,5,4,11,22,away,win,102.0,UTAH JAZZ,97.0
UTAH JAZZ,240,40,84,3,14,14,21,14,29,28,3,4,10,19,home,loss,97.0,CLEVELAND CAVALIERS,102.0
