team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
CHARLOTTE BOBCATS,240,38,76,9,15,21,30,14,26,25,3,4,15,21,away,loss,106.0,CHICAGO BULLS,113.0
CHICAGO BULLS,240,40,84,11,24,22,27,12,23,27,10,6,9,20,home,win,113.0,CHARLOTTE BOBCATS,106.0
DETROIT PISTONS,240,37,74,5,10,23,29,9,30,21,5,4,13,18,away,loss,102.0,INDIANA PACERS,106.0
INDIANA PACERS,240,40,88,9,22,17,22,15,27,16,6,5,9,22,home,win,106.0,DETROIT PISTONS,102.0
PORTLAND TRAIL BLAZERS,240,32,72,4,16,19,27,9,34,14,10,4,12,18,away,win,87.0,LOS ANGELES CLIPPERS,72.0
LOS ANGELES CLIPPERS,240,30,79,2,15,10,11,8,33,16,7,5,13,19,home,loss,72.0,PORTLAND TRAIL BLAZERS,87.0
OKLAHOMA CITY THUNDER,240,36,85,7,14,19,23,13,31,22,4,0,16,19,away,loss,98.0,MILWAUKEE BUCKS,115.0
MILWAUKEE BUCKS,240,43,82,9,22,20,26,9,32,31,7,6,11,17,home,win,115.0,OKLAHOMA CITY THUNDER,98.0
PHOENIX SUNS,240,40,83,8,16,22,29,14,33,25,8,4,21,18,away,win,110.0,MINNESOTA TIMBERWOLVES,97.0
MINNESOTA TIMBERWOLVES,240,37,89,8,20,15,21,14,27,18,11,3,17,25,home,loss,97.0,PHOENIX SUNS,110.0
ORLANDO MAGIC,240,35,77,7,18,16,29,12,23,22,6,6,12,16,away,loss,93.0,NEW JERSEY NETS,103.0
NEW JERSEY NETS,240,38,70,11,20,16,19,5,29,27,4,7,13,24,home,win,103.0,ORLANDO MAGIC,93.0
GOLDEN STATE WARRIORS,240,40,73,9,20,29,37,6,34,22,4,9,14,26,away,win,118.0,UTAH JAZZ,108.0
UTAH JAZZ,240,37,88,5,19,29,37,15,26,27,5,6,9,26,home,loss,108.0,GOLDEN STATE WARRIORS,118.0
