team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
BOSTON CELTICS,240,37,91,11,36,17,23,10,31,21,10,8,10,21,away,loss,102.0,BROOKLYN NETS,109.0
BROOKLYN NETS,240,37,86,13,38,22,25,13,42,18,5,7,17,20,home,win,109.0,BOSTON CELTICS,102.0
MEMPHIS GRIZZLIES,240,36,71,10,22,12,22,9,34,31,5,5,24,20,away,loss,94.0,HOUSTON ROCKETS,112.0
HOUSTON ROCKETS,240,37,84,18,48,20,22,7,29,17,12,3,13,20,home,win,112.0,MEMPHIS GRIZZLIES,94.0
NEW ORLEANS PELICANS,240,46,105,8,25,21,28,15,34,28,8,7,6,19,away,win,121.0,LOS ANGELES CLIPPERS,117.0
LOS ANGELES CLIPPERS,240,41,86,18,36,17,24,8,42,34,4,7,16,21,home,loss,117.0,NEW ORLEANS PELICANS,121.0
PORTLAND TRAIL BLAZERS,240,37,92,10,31,23,29,17,32,22,6,3,14,23,away,loss,107.0,SACRAMENTO KINGS,115.0
SACRAMENTO KINGS,240,43,87,10,26,19,24,11,37,24,6,6,13,23,home,win,115.0,PORTLAND TRAIL BLAZERS,107.0
CHARLOTTE HORNETS,240,43,92,13,36,9,11,8,37,24,7,4,7,14,away,win,108.0,SAN ANTONIO SPURS,93.0
SAN ANTONIO SPURS,240,38,82,7,20,10,12,3,33,21,4,6,12,15,home,loss,93.0,CHARLOTTE HORNETS,108.0
DETROIT PISTONS,240,35,90,11,36,13,16,5,33,16,13,4,9,27,away,loss,94.0,UTAH JAZZ,100.0
UTAH JAZZ,240,31,80,12,37,26,36,11,44,20,5,3,17,18,home,win,100.0,DETROIT PISTONS,94.0
