team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
BOSTON CELTICS,240,35,83,8,20,18,23,7,32,19,8,7,15,25,away,loss,96.0,BROOKLYN NETS,110.0
BROOKLYN NETS,240,38,83,12,38,22,28,5,35,22,7,2,12,17,home,win,110.0,BOSTON CELTICS,96.0
TORONTO RAPTORS,240,46,89,18,38,14,18,6,41,35,10,4,11,15,away,win,124.0,CHICAGO BULLS,101.0
CHICAGO BULLS,240,41,97,9,30,10,16,17,36,21,7,6,13,15,home,loss,101.0,TORONTO RAPTORS,124.0
PORTLAND TRAIL BLAZERS,240,38,102,4,21,10,11,18,41,18,7,5,16,19,away,loss,90.0,DETROIT PISTONS,99.0
DETROIT PISTONS,240,37,86,5,25,20,26,7,38,20,8,6,10,21,home,win,99.0,PORTLAND TRAIL BLAZERS,90.0
SACRAMENTO KINGS,240,42,94,15,29,9,15,16,33,28,3,4,12,17,away,loss,108.0,HOUSTON ROCKETS,119.0
HOUSTON ROCKETS,240,39,83,17,52,24,27,6,32,19,6,2,9,17,home,win,119.0,SACRAMENTO KINGS,108.0
ORLANDO MAGIC,240,47,92,15,38,12,14,9,28,37,9,3,7,16,away,win,121.0,INDIANA PACERS,116.0
INDIANA PACERS,240,48,90,9,24,11,17,11,33,26,4,3,15,18,home,loss,116.0,ORLANDO MAGIC,121.0
CLEVELAND CAVALIERS,240,41,92,3,23,23,28,14,22,18,11,0,11,16,away,loss,108.0,LOS ANGELES CLIPPERS,132.0
LOS ANGELES CLIPPERS,240,53,85,15,33,11,16,9,35,33,5,5,16,25,home,win,132.0,CLEVELAND CAVALIERS,108.0
PHILADELPHIA 76ERS,240,44,94,15,31,15,21,15,40,32,5,4,11,20,away,win,118.0,MINNESOTA TIMBERWOLVES,109.0
MINNESOTA TIMBERWOLVES,240,39,86,11,26,20,25,4,32,23,6,6,9,15,home,loss,109.0,PHILADELPHIA 76ERS,118.0
MIAMI HEAT,240,39,90,9,32,13,17,14,37,26,11,3,18,21,away,win,100.0,NEW YORK KNICKS,92.0
NEW YORK KNICKS,240,31,77,9,38,21,25,8,34,20,10,7,18,16,home,loss,92.0,MIAMI HEAT,100.0
MEMPHIS GRIZZLIES,240,41,89,8,25,30,40,15,29,24,15,6,11,18,away,win,120.0,PHOENIX SUNS,115.0
PHOENIX SUNS,240,43,81,12,28,17,23,7,33,27,8,7,19,26,home,loss,115.0,MEMPHIS GRIZZLIES,120.0
