team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
MINNESOTA TIMBERWOLVES,265,44,102,12,38,23,33,9,38,29,8,7,6,24,away,loss,123.0,ATLANTA HAWKS,131.0
ATLANTA HAWKS,265,46,108,12,29,27,32,18,47,32,1,6,12,25,home,win,131.0,MINNESOTA TIMBERWOLVES,123.0
PORTLAND TRAIL BLAZERS,240,38,90,6,33,15,20,13,35,14,11,2,11,15,away,win,97.0,BOSTON CELTICS,92.0
BOSTON CELTICS,240,40,86,5,28,7,10,8,33,20,5,4,16,20,home,loss,92.0,PORTLAND TRAIL BLAZERS,97.0
WASHINGTON WIZARDS,240,44,96,11,37,26,31,17,40,34,10,4,17,30,away,win,125.0,BROOKLYN NETS,116.0
BROOKLYN NETS,240,39,85,8,35,30,39,7,34,20,7,3,16,27,home,loss,116.0,WASHINGTON WIZARDS,125.0
HOUSTON ROCKETS,240,42,91,13,39,21,24,7,30,23,11,3,10,22,away,win,118.0,CHARLOTTE HORNETS,113.0
CHARLOTTE HORNETS,240,39,83,12,33,23,27,8,40,25,9,5,18,22,home,loss,113.0,HOUSTON ROCKETS,118.0
INDIANA PACERS,240,37,77,10,28,17,21,6,32,19,10,3,14,23,away,loss,101.0,DALLAS MAVERICKS,110.0
DALLAS MAVERICKS,240,40,81,16,37,14,23,10,32,27,11,1,15,22,home,win,110.0,INDIANA PACERS,101.0
NEW ORLEANS PELICANS,240,46,102,7,35,20,27,14,38,31,6,3,13,27,away,loss,119.0,LOS ANGELES LAKERS,125.0
LOS ANGELES LAKERS,240,49,94,8,25,19,31,6,33,37,7,8,8,22,home,win,125.0,NEW ORLEANS PELICANS,119.0
CHICAGO BULLS,240,39,82,8,24,23,25,7,35,20,12,9,15,20,away,win,109.0,MEMPHIS GRIZZLIES,107.0
MEMPHIS GRIZZLIES,240,41,94,9,27,16,18,12,34,25,7,5,16,17,home,loss,107.0,CHICAGO BULLS,109.0
GOLDEN STATE WARRIORS,240,44,89,17,48,20,28,8,29,21,7,3,8,21,away,loss,125.0,MIAMI HEAT,126.0
MIAMI HEAT,240,42,83,18,41,24,30,12,36,20,4,6,13,31,home,win,126.0,GOLDEN STATE WARRIORS,125.0
MILWAUKEE BUCKS,265,54,112,17,45,16,21,11,46,36,3,14,11,18,away,win,141.0,SACRAMENTO KINGS,140.0
SACRAMENTO KINGS,265,53,118,12,33,22,30,15,43,30,6,6,8,19,home,loss,140.0,MILWAUKEE BUCKS,141.0
DETROIT PISTONS,240,36,100,15,38,6,7,8,33,19,6,3,5,14,away,loss,93.0,SAN ANTONIO SPURS,105.0
SAN ANTONIO SPURS,240,42,81,9,17,12,17,7,48,24,3,7,10,11,home,win,105.0,DETROIT PISTONS,93.0
LOS ANGELES CLIPPERS,240,37,94,5,26,26,30,11,36,16,11,6,10,26,away,loss,105.0,UTAH JAZZ,111.0
UTAH JAZZ,240,38,92,11,34,24,32,14,42,22,9,12,16,23,home,win,111.0,LOS ANGELES CLIPPERS,105.0
