team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
ORLANDO MAGIC,240,37,94,8,31,16,20,15,28,21,5,4,12,14,away,loss,98.0,DETROIT PISTONS,115.0
DETROIT PISTONS,240,46,86,17,35,6,12,10,33,25,8,9,11,18,home,win,115.0,ORLANDO MAGIC,98.0
DENVER NUGGETS,240,31,84,4,24,19,20,7,31,22,7,3,14,17,away,loss,85.0,HOUSTON ROCKETS,112.0
HOUSTON ROCKETS,240,40,87,15,40,17,20,11,35,22,8,3,10,19,home,win,112.0,DENVER NUGGETS,85.0
DALLAS MAVERICKS,240,36,92,16,47,11,17,10,40,26,4,2,13,21,away,loss,99.0,MIAMI HEAT,105.0
MIAMI HEAT,240,39,89,7,30,20,27,10,45,24,7,4,10,22,home,win,105.0,DALLAS MAVERICKS,99.0
LOS ANGELES CLIPPERS,240,42,92,17,33,17,22,8,38,26,7,3,11,21,away,loss,118.0,MILWAUKEE BUCKS,128.0
MILWAUKEE BUCKS,240,45,86,16,37,22,27,3,44,25,5,5,8,21,home,win,128.0,LOS ANGELES CLIPPERS,118.0
SACRAMENTO KINGS,240,47,95,10,23,14,16,8,36,28,6,10,12,19,away,loss,118.0,NEW ORLEANS PELICANS,121.0
NEW ORLEANS PELICANS,240,49,97,9,28,14,14,8,37,27,6,6,12,16,home,win,121.0,SACRAMENTO KINGS,118.0
TORONTO RAPTORS,240,40,89,20,47,17,22,6,38,32,8,6,8,28,away,win,117.0,NEW YORK KNICKS,92.0
NEW YORK KNICKS,240,31,85,6,26,24,32,14,40,16,3,5,16,22,home,loss,92.0,TORONTO RAPTORS,117.0
BROOKLYN NETS,240,40,90,11,32,19,29,11,34,25,4,3,15,22,away,loss,110.0,PHILADELPHIA 76ERS,123.0
PHILADELPHIA 76ERS,240,45,90,12,25,21,28,9,36,27,10,3,9,23,home,win,123.0,BROOKLYN NETS,110.0
CLEVELAND CAVALIERS,240,45,92,12,29,8,10,14,35,18,6,1,14,20,away,loss,110.0,SAN ANTONIO SPURS,116.0
SAN ANTONIO SPURS,240,45,85,14,33,12,17,4,29,27,8,6,11,14,home,win,116.0,CLEVELAND CAVALIERS,110.0
