team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
DETROIT PISTONS,240,37,85,16,37,19,22,14,34,20,12,5,16,26,away,win,109.0,LOS ANGELES CLIPPERS,104.0
LOS ANGELES CLIPPERS,240,36,74,9,18,23,29,6,32,25,7,5,17,19,home,loss,104.0,DETROIT PISTONS,109.0
MEMPHIS GRIZZLIES,240,39,81,9,29,21,27,10,28,18,9,6,10,21,away,loss,108.0,MIAMI HEAT,112.0
MIAMI HEAT,240,40,80,15,31,17,24,10,28,25,7,4,14,23,home,win,112.0,MEMPHIS GRIZZLIES,108.0
NEW ORLEANS PELICANS,240,40,87,5,24,21,24,10,38,22,7,8,15,20,away,loss,106.0,MINNESOTA TIMBERWOLVES,110.0
MINNESOTA TIMBERWOLVES,240,40,93,11,39,19,24,15,35,23,7,5,13,20,home,win,110.0,NEW ORLEANS PELICANS,106.0
SAN ANTONIO SPURS,240,44,96,10,31,14,20,13,39,21,5,7,14,18,away,loss,112.0,OKLAHOMA CITY THUNDER,122.0
OKLAHOMA CITY THUNDER,240,43,93,11,23,25,29,7,40,27,10,5,7,16,home,win,122.0,SAN ANTONIO SPURS,112.0
BOSTON CELTICS,240,38,90,8,32,19,28,10,36,19,7,3,8,18,away,loss,103.0,ORLANDO MAGIC,105.0
ORLANDO MAGIC,240,36,84,11,38,22,24,9,41,21,2,5,15,20,home,win,105.0,BOSTON CELTICS,103.0
DENVER NUGGETS,240,34,88,10,31,15,22,13,37,25,7,6,15,19,away,loss,93.0,PHOENIX SUNS,102.0
PHOENIX SUNS,240,38,92,8,26,18,25,14,35,29,11,9,9,19,home,win,102.0,DENVER NUGGETS,93.0
CHARLOTTE HORNETS,240,36,88,12,36,13,22,13,43,21,6,11,18,17,away,loss,97.0,SACRAMENTO KINGS,104.0
SACRAMENTO KINGS,240,41,99,14,37,8,12,12,37,27,8,5,11,21,home,win,104.0,CHARLOTTE HORNETS,97.0
CHICAGO BULLS,240,40,97,7,25,15,17,10,37,24,8,7,9,19,away,loss,102.0,UTAH JAZZ,110.0
UTAH JAZZ,240,38,88,16,45,18,25,10,42,23,6,11,13,18,home,win,110.0,CHICAGO BULLS,102.0
