team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
NEW YORK KNICKS,240,37,87,8,31,17,26,6,27,17,12,11,8,31,away,loss,99.0,BROOKLYN NETS,109.0
BROOKLYN NETS,240,34,84,9,33,32,47,18,42,19,5,2,19,21,home,win,109.0,NEW YORK KNICKS,99.0
LOS ANGELES CLIPPERS,240,38,82,8,21,22,29,5,45,27,3,4,16,14,away,win,106.0,CHICAGO BULLS,101.0
CHICAGO BULLS,240,40,102,10,35,11,12,12,37,20,11,5,8,23,home,loss,101.0,LOS ANGELES CLIPPERS,106.0
MIAMI HEAT,240,37,79,9,23,17,25,11,36,19,6,4,14,18,away,win,100.0,CLEVELAND CAVALIERS,94.0
CLEVELAND CAVALIERS,240,37,85,10,30,10,13,9,33,23,8,2,13,21,home,loss,94.0,MIAMI HEAT,100.0
DETROIT PISTONS,240,35,85,12,38,19,25,13,33,22,6,0,12,26,away,loss,101.0,DALLAS MAVERICKS,106.0
DALLAS MAVERICKS,240,37,81,14,36,18,30,9,34,24,8,6,9,25,home,win,106.0,DETROIT PISTONS,101.0
PHOENIX SUNS,240,32,76,7,30,24,26,2,33,20,4,7,15,25,away,loss,95.0,DENVER NUGGETS,132.0
DENVER NUGGETS,240,47,94,15,36,23,29,16,41,26,9,1,12,20,home,win,132.0,PHOENIX SUNS,95.0
TORONTO RAPTORS,240,44,91,14,36,17,18,12,35,27,4,1,19,25,away,loss,119.0,HOUSTON ROCKETS,121.0
HOUSTON ROCKETS,240,41,91,10,46,29,33,12,28,17,11,5,12,21,home,win,121.0,TORONTO RAPTORS,119.0
SACRAMENTO KINGS,240,37,91,12,33,13,17,12,37,23,11,5,17,25,away,win,99.0,MEMPHIS GRIZZLIES,96.0
MEMPHIS GRIZZLIES,240,34,80,6,20,22,27,9,35,22,13,5,16,22,home,loss,96.0,SACRAMENTO KINGS,99.0
CHARLOTTE HORNETS,240,36,90,10,39,17,25,12,41,20,4,2,17,19,away,loss,99.0,MILWAUKEE BUCKS,108.0
MILWAUKEE BUCKS,240,41,89,6,31,20,23,6,40,17,9,6,11,18,home,win,108.0,CHARLOTTE HORNETS,99.0
WASHINGTON WIZARDS,240,35,79,15,27,10,12,5,33,26,9,1,12,15,away,win,95.0,ORLANDO MAGIC,91.0
ORLANDO MAGIC,240,38,84,7,33,8,12,13,39,24,3,4,16,10,home,loss,91.0,WASHINGTON WIZARDS,95.0
MINNESOTA TIMBERWOLVES,240,38,90,8,26,18,21,12,38,20,5,5,14,22,away,loss,102.0,UTAH JAZZ,106.0
UTAH JAZZ,240,37,94,13,40,19,25,16,31,25,9,8,11,19,home,win,106.0,MINNESOTA TIMBERWOLVES,102.0
