team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
SAN ANTONIO SPURS,240,44,89,10,33,13,18,6,43,27,4,9,16,23,away,win,111.0,ATLANTA HAWKS,104.0
ATLANTA HAWKS,240,36,92,13,43,19,24,11,36,21,8,2,14,18,home,loss,104.0,SAN ANTONIO SPURS,111.0
CLEVELAND CAVALIERS,240,35,87,16,38,21,29,11,36,23,7,3,17,22,away,loss,107.0,BROOKLYN NETS,113.0
BROOKLYN NETS,240,43,91,12,33,15,26,11,39,21,5,7,14,22,home,win,113.0,CLEVELAND CAVALIERS,107.0
PHILADELPHIA 76ERS,240,40,87,8,24,19,24,13,33,22,10,5,15,20,away,loss,107.0,CHICAGO BULLS,108.0
CHICAGO BULLS,240,41,93,6,23,20,27,16,31,21,7,3,13,17,home,win,108.0,PHILADELPHIA 76ERS,107.0
MIAMI HEAT,240,38,90,9,26,6,11,17,34,19,10,7,18,16,away,win,91.0,CHARLOTTE HORNETS,84.0
CHARLOTTE HORNETS,240,30,82,14,36,10,15,10,30,22,7,4,19,19,home,loss,84.0,MIAMI HEAT,91.0
MINNESOTA TIMBERWOLVES,240,41,84,12,27,20,21,6,31,25,3,5,13,22,away,loss,114.0,DETROIT PISTONS,131.0
DETROIT PISTONS,240,50,93,14,33,17,22,11,31,29,5,3,5,19,home,win,131.0,MINNESOTA TIMBERWOLVES,114.0
DENVER NUGGETS,240,45,98,13,42,12,17,18,37,33,6,3,8,17,away,win,115.0,LOS ANGELES LAKERS,99.0
LOS ANGELES LAKERS,240,40,84,7,31,12,23,5,36,26,5,4,12,22,home,loss,99.0,DENVER NUGGETS,115.0
UTAH JAZZ,240,46,88,8,30,14,22,9,36,31,9,8,20,20,away,win,114.0,NEW ORLEANS PELICANS,104.0
NEW ORLEANS PELICANS,240,41,89,9,24,13,20,7,34,17,6,4,17,23,home,loss,104.0,UTAH JAZZ,114.0
NEW YORK KNICKS,240,35,77,6,15,20,25,8,38,17,6,7,21,23,away,loss,96.0,PHOENIX SUNS,107.0
PHOENIX SUNS,240,39,81,12,29,17,22,4,27,21,11,9,13,25,home,win,107.0,NEW YORK KNICKS,96.0
BOSTON CELTICS,240,40,79,13,33,18,21,3,32,26,11,1,17,22,away,win,111.0,SACRAMENTO KINGS,109.0
SACRAMENTO KINGS,240,40,80,13,29,16,22,6,34,23,8,4,15,21,home,loss,109.0,BOSTON CELTICS,111.0
DALLAS MAVERICKS,240,45,93,15,41,18,28,14,25,27,7,2,7,19,away,loss,123.0,WASHINGTON WIZARDS,132.0
WASHINGTON WIZARDS,240,50,93,12,33,20,25,15,34,30,3,2,12,26,home,win,132.0,DALLAS MAVERICKS,123.0
